"","1.2.1.Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2014","2014","2014","2014","2014","2014","2014","2014","2014","2012","2012","2012","2012","2012","2012","2012","2012","2012","2010","2010","2010","2010","2010","2010","2010","2010","2010"
"","Total","Hombres","Mujeres","Población menor de 18 años","Población de 18 años o más","Población entre 12 y 29 años de edad","Población de 0 a 11 años y de 30 años o más","Población de 65 años o más","Población menor de 65 años","Total","Hombres","Mujeres","Población menor de 18 años","Población de 18 años o más","Población entre 12 y 29 años de edad","Población de 0 a 11 años y de 30 años o más","Población de 65 años o más","Población menor de 65 años","Total","Hombres","Mujeres","Población menor de 18 años","Población de 18 años o más","Población entre 12 y 29 años de edad","Población de 0 a 11 años y de 30 años o más","Población de 65 años o más","Población menor de 65 años"
"Estados Unidos Mexicanos","63,817","30,712","33,105","24,797","39,020","19,731","44,086","4,857","58,961","60,579","29,061","31,518","24,111","36,468","18,608","41,971","4,471","56,108","59,558","28,831","30,727","24,662","34,896","18,580","40,978","3,990","55,568"
"Aguascalientes","556","NA","NA","NA","NA","NA","NA","NA","NA","593","NA","NA","NA","NA","NA","NA","NA","NA","554","NA","NA","NA","NA","NA","NA","NA","NA"
"Baja California","1,212","NA","NA","NA","NA","NA","NA","NA","NA","1,298","NA","NA","NA","NA","NA","NA","NA","NA","1,225","NA","NA","NA","NA","NA","NA","NA","NA"
"Baja California Sur","268","NA","NA","NA","NA","NA","NA","NA","NA","267","NA","NA","NA","NA","NA","NA","NA","NA","233","NA","NA","NA","NA","NA","NA","NA","NA"
"Campeche","427","NA","NA","NA","NA","NA","NA","NA","NA","436","NA","NA","NA","NA","NA","NA","NA","NA","462","NA","NA","NA","NA","NA","NA","NA","NA"
"Coahuila de Zaragoza","1,211","NA","NA","NA","NA","NA","NA","NA","NA","1,164","NA","NA","NA","NA","NA","NA","NA","NA","1,135","NA","NA","NA","NA","NA","NA","NA","NA"
"Colima","290","NA","NA","NA","NA","NA","NA","NA","NA","280","NA","NA","NA","NA","NA","NA","NA","NA","263","NA","NA","NA","NA","NA","NA","NA","NA"
"Chiapas","4,091","NA","NA","NA","NA","NA","NA","NA","NA","3,870","NA","NA","NA","NA","NA","NA","NA","NA","3,983","NA","NA","NA","NA","NA","NA","NA","NA"
