"","1.2.2.Proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, con arreglo a las definiciones nacionales","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2014","2014","2014","2014","2014","2014","2014","2014","2014","2012","2012","2012","2012","2012","2012","2012","2012","2012","2010","2010","2010","2010","2010","2010","2010","2010","2010"
"","Total","Hombres","Mujeres","Población menor de 18 años","Población de 18 años o más","Población entre 12 y 29 años de edad","Población de 0 a 11 años y de 30 años o más","Población de 65 años o más","Población menor de 65 años","Total","Hombres","Mujeres","Población menor de 18 años","Población de 18 años o más","Población entre 12 y 29 años de edad","Población de 0 a 11 años y de 30 años o más","Población de 65 años o más","Población menor de 65 años","Total","Hombres","Mujeres","Población menor de 18 años","Población de 18 años o más","Población entre 12 y 29 años de edad","Población de 0 a 11 años y de 30 años o más","Población de 65 años o más","Población menor de 65 años"
"Estados Unidos Mexicanos","55,342","26,831","28,510","21,413","33,929","17,458","37,884","4,160","51,181","53,350","25,768","27,582","21,170","32,180","16,648","36,701","3,958","49,392","52,813","25,675","27,138","21,723","31,090","16,779","36,034","3,559","49,254"
"Aguascalientes","443","NA","NA","NA","NA","NA","NA","NA","NA","468","NA","NA","NA","NA","NA","NA","NA","NA","457","NA","NA","NA","NA","NA","NA","NA","NA"
"Baja California","985","NA","NA","NA","NA","NA","NA","NA","NA","1,010","NA","NA","NA","NA","NA","NA","NA","NA","1,020","NA","NA","NA","NA","NA","NA","NA","NA"
"Baja California Sur","226","NA","NA","NA","NA","NA","NA","NA","NA","211","NA","NA","NA","NA","NA","NA","NA","NA","203","NA","NA","NA","NA","NA","NA","NA","NA"
"Campeche","391","NA","NA","NA","NA","NA","NA","NA","NA","388","NA","NA","NA","NA","NA","NA","NA","NA","425","NA","NA","NA","NA","NA","NA","NA","NA"
"Coahuila de Zaragoza","886","NA","NA","NA","NA","NA","NA","NA","NA","799","NA","NA","NA","NA","NA","NA","NA","NA","776","NA","NA","NA","NA","NA","NA","NA","NA"
"Colima","245","NA","NA","NA","NA","NA","NA","NA","NA","237","NA","NA","NA","NA","NA","NA","NA","NA","230","NA","NA","NA","NA","NA","NA","NA","NA"
"Chiapas","3,961","NA","NA","NA","NA","NA","NA","NA","NA","3,782","NA","NA","NA","NA","NA","NA","NA","NA","3,866","NA","NA","NA","NA","NA","NA","NA","NA"
