"","3.1.1.Razón de mortalidad materna","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","778","872","861","960","971","992","1,207","1,119","1,097","1,166","1,242","1,239","1,313","1,309","1,618","1,751","1,904","1,874","1,874","1,937","1,967","2,021","2,058","2,090","2,108","2,156"
"Aguascalientes","7","6","7","13","5","10","13","9","4","12","7","5","12","6","15","18","21","9","12","10","14","12","5","12","12","6"
"Baja California","19","17","24","18","21","24","30","24","22","23","28","33","22","17","23","30","23","26","17","16","13","12","16","12","28","24"
"Baja California Sur","3","2","4","3","4","4","5","5","8","4","3","4","9","6","2","2","4","7","7","1","3","0","5","3","0","3"
"Campeche","8","3","11","7","10","8","8","7","3","10","11","7","9","11","4","9","9","10","12","16","23","19","17","16","9","10"
"Coahuila de Zaragoza","17","22","16","20","22","24","15","19","13","14","24","15","21","23","27","24","23","41","18","28","23","25","26","12","15","7"
"Colima","3","4","3","3","5","0","3","4","2","6","1","4","3","2","1","7","4","4","10","9","5","4","13","5","15","6"
"Chiapas","77","77","62","68","60","69","71","92","78","82","82","96","106","94","114","89","122","112","117","102","129","134","149","164","165","139"
"Chihuahua","30","39","41","32","46","39","55","38","46","43","57","34","33","50","54","47","51","33","63","59","34","38","45","44","30","63"
"Ciudad de México","56","56","57","56","56","76","72","69","89","78","80","87","99","77","110","128","167","167","146","162","142","178","188","185","201","195"
"Durango","11","25","15","19","13","15","13","23","14","26","14","24","19","14","18","18","21","18","22","16","19","23","15","12","11","30"
"Guanajuato","36","32","41","42","42","42","60","39","40","43","42","53","62","58","55","79","85","81","71","78","89","86","81","122","92","126"
"Guerrero","36","43","44","56","69","53","68","62","64","84","85","69","85","77","102","102","108","124","96","139","91","137","97","83","79","90"
"Hidalgo","18","36","21","21","16","29","30","28","30","26","37","34","32","31","30","32","51","35","40","43","58","55","55","78","60","73"
"Jalisco","36","52","34","36","36","48","81","52","46","77","52","66","56","50","70","86","80","73","102","63","71","60","81","81","65","89"
"México","95","99","107","130","127","119","166","154","144","149","197","198","210","192","305","290","326","337","307","323","304","332","287","284","355","329"
"Michoacán de Ocampo","31","44","35","40","53","49","41","44","39","53","46","39","47","39","60","61","75","84","78","63","91","66","83","99","62","56"
"Morelos","12","3","15","13","13","10","23","15","15","17","23","14","28","25","28","23","23","37","31","48","37","34","35","35","18","34"
"Nayarit","15","6","8","10","10","8","12","9","5","7","18","10","15","16","13","15","16","17","20","4","25","10","8","12","9","13"
"Nuevo León","22","16","13","22","25","14","25","23","17","24","20","12","10","22","22","45","39","37","34","21","19","20","23","20","26","32"
"Oaxaca","39","38","41","53","50","59","66","67","70","54","70","64","50","80","79","99","86","88","125","145","131","149","151","139","204","173"
"Puebla","40","46","40","64","59","58","78","62","58","63","74","87","89","88","128","104","103","113","99","150","199","154","151","155","168","171"
"Querétaro","6","14","14","8","16","13","12","16","17","20","15","18","17","19","25","38","25","29","26","17","30","41","43","31","25","29"
"Quintana Roo","6","8","13","14","13","13","10","17","14","13","13","11","14","12","18","23","17","15","10","11","14","12","20","17","11","6"
"San Luis Potosí","16","13","17","22","24","22","28","17","30","19","25","32","38","42","55","45","47","34","44","45","50","47","66","81","52","59"
"Sinaloa","12","17","14","22","9","18","18","18","25","20","23","18","11","19","16","34","31","25","28","19","13","15","20","22","30","16"
"Sonora","17","18","21","17","22","12","21","14","20","25","19","18","18","23","28","22","25","21","29","34","25","33","33","41","29","22"
"Tabasco","21","20","14","17","21","14","23","28","23","21","21","21","22","15","9","25","44","38","43","22","19","33","24","14","25","23"
"Tamaulipas","19","17","25","16","10","26","24","33","25","35","31","26","22","23","38","43","49","46","36","26","16","18","19","13","23","20"
"Tlaxcala","5","13","6","16","7","14","11","6","7","14","14","12","16","19","22","17","26","24","35","26","39","21","20","29","23","32"
"Veracruz de Ignacio de la Llave","42","59","64","72","81","78","93","98","99","79","82","100","94","113","106","140","163","142","128","184","182","191","211","213","190","230"
"Yucatán","13","17","20","20","14","12","15","15","20","10","19","17","21","29","23","32","20","27","35","35","37","37","45","35","43","29"
"Zacatecas","10","10","14","10","12","12","17","12","10","14","8","9","22","16","18","24","20","20","33","22","22","25","26","21","33","21"
