"","3.1.2.Proporción de partos con asistencia de personal sanitario especializado","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","2,168,971","2,206,037","2,158,736","2,168,766","2,181,499","2,155,484","1,987,021","1,861,638","1,956,343","1,926,355","1,883,637","1,858,197","1,835,677","1,862,468","1,862,526","1,879,618","1,959,246","1,899,598","1,880,561","1,823,980","1,803,418","1,797,617","1,812,607","1,804,498","1,806,435","1,758,058","1,738,050"
"Aguascalientes","28,609","28,486","28,643","28,578","28,718","28,212","27,024","25,937","26,870","26,693","26,829","26,818","27,074","26,982","26,277","24,314","27,590","24,782","25,402","25,693","25,398","25,771","25,931","25,123","24,735","24,232","23,185"
"Baja California","59,574","58,716","54,787","56,222","57,713","56,160","40,528","40,986","38,481","37,311","38,223","43,206","38,555","41,876","47,294","48,425","52,789","52,759","51,978","50,761","46,781","46,124","44,932","45,604","46,651","45,767","46,377"
"Baja California Sur","11,812","12,161","12,296","12,185","12,680","12,357","12,843","13,052","12,942","11,965","11,264","10,601","10,573","10,400","10,293","10,059","9,852","9,450","9,472","9,145","8,566","8,655","8,364","7,908","8,311","7,888","7,936"
"Campeche","14,721","15,922","15,266","15,503","15,067","14,662","14,676","14,270","13,705","13,003","12,466","11,868","11,881","11,312","11,212","11,053","11,576","11,312","11,018","10,474","10,856","10,509","10,151","9,271","9,228","9,011","8,687"
"Coahuila de Zaragoza","58,814","60,160","59,518","57,333","57,619","55,428","48,991","50,368","51,066","51,459","50,679","49,035","46,783","47,728","50,921","49,801","56,572","53,036","52,583","52,195","51,415","53,769","53,706","52,086","51,755","53,470","53,985"
"Colima","15,226","14,795","15,074","14,705","14,071","14,255","13,649","13,644","13,273","12,726","12,127","12,159","11,913","11,341","11,683","11,301","10,708","11,528","12,346","11,906","12,298","12,479","12,502","12,281","12,602","12,252","12,109"
"Chiapas","96,965","99,999","83,227","80,124","76,988","74,251","54,281","53,116","49,537","38,154","35,350","33,535","32,027","29,379","28,864","28,654","29,047","27,848","27,201","26,985","27,545","28,333","28,428","26,666","24,776","21,411","19,862"
"Chihuahua","67,637","67,528","66,835","66,242","65,573","65,601","54,753","56,595","57,664","55,892","54,208","55,313","57,585","59,407","61,144","63,692","65,736","64,314","63,009","61,621","58,514","59,355","60,527","58,845","61,155","60,764","60,040"
"Ciudad de México","139,170","145,992","154,918","156,691","160,232","159,807","163,133","152,018","170,442","179,674","183,257","192,541","196,504","197,479","204,977","207,963","210,864","208,351","211,325","214,260","218,255","228,918","239,601","238,298","248,378","246,085","251,630"
"Durango","32,964","33,681","33,545","34,240","34,280","34,073","31,816","31,719","29,851","28,252","28,199","28,837","29,667","29,679","29,718","30,451","31,430","32,348","34,432","31,975","29,455","30,066","29,845","29,331","29,055","28,863","28,850"
"Guanajuato","113,907","115,111","115,113","116,789","119,920","119,110","108,104","104,948","104,056","102,158","99,805","101,677","102,207","101,255","106,210","108,157","112,153","109,877","108,252","106,280","104,631","105,312","104,012","101,896","100,891","96,453","91,514"
