"","3.2.1.Tasa de mortalidad de niños menores de 5 años","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","33,872","33,837","35,482","36,500","37,769","38,796","40,435","41,907","43,521","45,277","47,198","49,138","51,301","53,660","56,249","59,092","62,166","65,456","68,978","72,709","76,620","80,722","84,950","89,490","94,406","99,668"
"Aguascalientes","283","321","299","355","316","357","372","386","400","417","435","454","472","492","514","538","564","591","620","650","680","716","752","790","830","870"
"Baja California","992","995","1,000","1,025","1,023","1,076","1,118","1,136","1,155","1,180","1,201","1,221","1,247","1,278","1,316","1,363","1,414","1,466","1,521","1,594","1,642","1,692","1,745","1,812","1,890","1,966"
"Baja California Sur","167","153","165","161","147","169","167","169","170","171","174","175","178","182","185","188","193","198","202","209","215","221","227","237","245","257"
"Campeche","306","234","283","309","273","240","247","253","259","267","274","284","292","304","316","330","347","364","385","407","431","455","478","500","523","545"
"Coahuila de Zaragoza","843","958","804","861","658","675","698","721","746","774","805","837","874","914","957","1,004","1,057","1,115","1,178","1,247","1,325","1,410","1,510","1,619","1,745","1,894"
"Colima","158","148","173","167","177","178","186","191","194","199","205","211","215","221","229","237","249","263","280","298","319","338","362","388","416","443"
"Chiapas","2,081","2,022","2,168","2,188","2,435","2,571","2,698","2,827","2,969","3,126","3,295","3,472","3,664","3,869","4,089","4,318","4,553","4,798","5,048","5,303","5,563","5,830","6,103","6,402","6,734","7,103"
"Chihuahua","1,180","1,151","1,286","1,193","1,300","1,355","1,421","1,461","1,497","1,534","1,561","1,586","1,619","1,645","1,679","1,717","1,757","1,804","1,861","1,936","2,026","2,133","2,258","2,408","2,598","2,818"
"Ciudad de México","1,797","1,802","2,021","2,138","2,256","1,895","1,984","2,064","2,152","2,249","2,347","2,442","2,546","2,655","2,772","2,898","3,038","3,189","3,353","3,524","3,708","3,907","4,125","4,361","4,613","4,878"
"Durango","583","573","558","547","619","498","523","544","569","596","626","659","696","732","773","821","874","925","983","1,041","1,101","1,162","1,229","1,304","1,387","1,475"
"Guanajuato","1,496","1,587","1,558","1,611","1,657","1,863","1,958","2,042","2,137","2,247","2,372","2,490","2,628","2,777","2,947","3,141","3,350","3,574","3,812","4,063","4,328","4,621","4,931","5,253","5,620","6,050"
"Guerrero","1,285","1,299","1,437","1,430","1,635","1,645","1,742","1,830","1,925","2,034","2,156","2,276","2,413","2,555","2,712","2,882","3,069","3,261","3,454","3,649","3,841","4,028","4,209","4,389","4,572","4,736"
"Hidalgo","886","935","948","985","1,027","1,069","1,117","1,155","1,198","1,252","1,309","1,361","1,418","1,482","1,551","1,625","1,705","1,795","1,892","2,004","2,120","2,243","2,370","2,501","2,633","2,773"
"Jalisco","1,879","1,967","1,964","2,083","2,251","2,143","2,226","2,296","2,371","2,451","2,548","2,645","2,758","2,876","3,012","3,159","3,327","3,508","3,706","3,920","4,149","4,398","4,661","4,940","5,230","5,534"
"México","5,003","4,751","5,098","5,240","5,559","5,822","5,997","6,185","6,395","6,601","6,816","7,041","7,282","7,535","7,803","8,090","8,402","8,748","9,127","9,507","9,902","10,326","10,775","11,290","11,889","12,543"
"Michoacán de Ocampo","1,328","1,297","1,338","1,380","1,295","1,553","1,629","1,688","1,751","1,829","1,915","1,997","2,094","2,203","2,326","2,462","2,621","2,788","2,974","3,165","3,375","3,590","3,811","4,043","4,281","4,531"
"Morelos","455","466","485","490","510","515","531","546","560","576","595","613","633","656","686","719","757","795","842","889","944","995","1,045","1,098","1,150","1,202"
"Nayarit","275","296","305","303","318","313","323","330","336","344","355","366","378","394","412","433","456","482","511","541","574","607","642","678","715","751"
