"","3.2.3.Tasa de mortalidad infantil","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","28,149","28,009","29,268","30,136","30,922","31,713","33,076","34,376","35,789","37,312","38,990","40,729","42,609","44,649","46,850","49,272","51,842","54,583","57,489","60,474","63,549","66,674","69,715","72,787","75,928","78,995"
"Aguascalientes","237","284","256","278","266","298","312","323","336","350","369","387","405","423","442","465","488","513","540","568","598","628","660","692","726","758"
"Baja California","820","800","812","813","824","852","884","900","916","937","955","969","985","1,004","1,028","1,056","1,088","1,120","1,152","1,180","1,200","1,209","1,214","1,217","1,220","1,223"
"Baja California Sur","138","135","139","134","122","140","142","142","144","146","148","150","153","156","159","163","167","172","176","181","186","190","196","202","208","211"
"Campeche","267","200","247","268","237","197","202","208","213","220","227","235","243","254","264","277","290","307","323","342","360","380","398","415","431","444"
"Coahuila de Zaragoza","739","834","706","746","529","541","560","580","601","626","653","681","713","749","787","829","875","923","976","1,031","1,090","1,152","1,218","1,284","1,352","1,422"
"Colima","134","126","144","139","155","154","159","164","168","172","177","181","186","192","197","206","215","225","238","250","265","280","296","311","327","342"
"Chiapas","1,515","1,479","1,536","1,522","1,714","1,828","1,931","2,039","2,159","2,291","2,437","2,590","2,755","2,934","3,122","3,321","3,525","3,734","3,946","4,153","4,350","4,542","4,716","4,888","5,069","5,254"
"Chihuahua","947","944","1,027","916","996","1,039","1,092","1,125","1,157","1,187","1,214","1,236","1,260","1,285","1,310","1,338","1,361","1,388","1,420","1,457","1,495","1,537","1,574","1,608","1,647","1,686"
"Ciudad de México","1,580","1,555","1,767","1,869","1,967","1,649","1,718","1,789","1,862","1,945","2,031","2,112","2,201","2,295","2,394","2,501","2,618","2,746","2,884","3,030","3,182","3,346","3,525","3,724","3,932","4,152"
"Durango","496","486","486","477","519","437","458","478","500","524","552","582","616","652","691","735","782","831","884","935","987","1,039","1,093","1,154","1,214","1,274"
"Guanajuato","1,247","1,372","1,321","1,388","1,404","1,576","1,654","1,730","1,814","1,908","2,022","2,134","2,257","2,391","2,538","2,708","2,891","3,087","3,291","3,499","3,715","3,945","4,180","4,402","4,631","4,883"
"Guerrero","992","1,014","1,090","1,115","1,256","1,263","1,342","1,416","1,498","1,592","1,697","1,808","1,929","2,057","2,197","2,350","2,515","2,691","2,867","3,044","3,220","3,392","3,555","3,713","3,875","4,008"
"Hidalgo","729","751","762","799","831","861","902","934","971","1,017","1,068","1,115","1,166","1,221","1,280","1,345","1,411","1,482","1,563","1,654","1,750","1,848","1,947","2,045","2,142","2,237"
"Jalisco","1,552","1,663","1,633","1,749","1,927","1,782","1,853","1,915","1,979","2,050","2,131","2,217","2,309","2,408","2,517","2,638","2,770","2,914","3,070","3,238","3,415","3,601","3,800","4,004","4,210","4,418"
"México","4,407","4,091","4,476","4,616","4,811","5,057","5,213","5,385","5,578","5,769","5,960","6,168","6,381","6,604","6,837","7,082","7,336","7,613","7,918","8,206","8,479","8,761","9,015","9,281","9,567","9,827"
"Michoacán de Ocampo","1,124","1,085","1,118","1,169","1,077","1,276","1,338","1,391","1,447","1,512","1,586","1,661","1,745","1,837","1,943","2,062","2,194","2,340","2,499","2,666","2,843","3,024","3,207","3,394","3,582","3,763"
"Morelos","385","406","413","406","418","439","454","465","477","493","510","527","545","565","588","616","648","683","721","763","808","852","893","937","975","1,008"
"Nayarit","221","231","225","234","253","254","262","269","275","282","291","302","314","328","343","362","382","405","430","456","486","515","545","577","609","640"
"Nuevo León","924","926","864","843","793","827","849","872","896","921","950","981","1,013","1,047","1,083","1,121","1,162","1,205","1,253","1,303","1,359","1,414","1,472","1,540","1,612","1,688"
"Oaxaca","1,033","1,100","1,115","1,199","1,244","1,310","1,385","1,458","1,539","1,631","1,738","1,846","1,963","2,098","2,246","2,407","2,581","2,765","2,955","3,154","3,360","3,567","3,773","3,985","4,177","4,343"
"Puebla","1,768","1,805","1,964","2,109","2,223","2,359","2,471","2,588","2,710","2,848","3,007","3,163","3,328","3,503","3,690","3,892","4,100","4,309","4,524","4,748","5,016","5,293","5,501","5,687","5,895","6,101"
"Querétaro","443","425","475","491","462","497","518","539","565","588","612","639","669","701","738","779","820","864","911","959","1,008","1,058","1,110","1,163","1,218","1,268"
"Quintana Roo","335","340","319","324","334","353","357","358","366","364","352","353","355","359","365","371","380","389","398","410","422","435","448","462","474","486"
"San Luis Potosí","640","672","699","692","751","765","800","832","866","905","950","997","1,051","1,109","1,171","1,237","1,307","1,381","1,461","1,542","1,625","1,711","1,796","1,880","1,965","2,047"
"Sinaloa","532","459","517","530","616","584","607","630","653","678","707","739","774","810","850","893","939","989","1,042","1,097","1,154","1,212","1,269","1,330","1,392","1,455"
"Sonora","534","520","561","676","598","639","662","681","701","719","738","761","785","810","837","866","896","927","961","996","1,031","1,066","1,104","1,143","1,178","1,214"
"Tabasco","742","713","681","700","733","600","625","653","681","712","749","788","822","861","903","949","998","1,049","1,102","1,158","1,218","1,280","1,343","1,411","1,480","1,550"
"Tamaulipas","738","748","799","755","750","801","838","879","923","949","967","987","1,012","1,042","1,072","1,106","1,138","1,175","1,216","1,260","1,303","1,346","1,397","1,455","1,512","1,569"
"Tlaxcala","334","318","359","402","358","422","442","462","484","508","535","562","590","619","651","685","719","753","790","829","868","907","946","983","1,021","1,056"
"Veracruz de Ignacio de la Llave","1,778","1,739","1,983","1,971","2,007","2,057","2,155","2,252","2,361","2,486","2,632","2,790","2,969","3,167","3,380","3,617","3,875","4,148","4,432","4,721","5,009","5,291","5,561","5,820","6,086","6,352"
"Yucatán","458","440","426","457","402","474","488","499","511","524","540","557","577","600","624","651","680","713","749","789","831","875","918","964","1,010","1,049"
"Zacatecas","360","348","348","349","345","382","403","420","438","458","485","511","538","568","603","644","691","742","797","855","916","978","1,045","1,116","1,191","1,267"
