"","3.2.4.Proporción de niños de un año de edad con esquema básico completo de vacunación","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993"
"Estados Unidos Mexicanos","2,136,233","2,029,364","1,886,712","1,907,346","1,822,258","1,806,096","1,740,791","1,596,818","1,567,606","1,601,229","1,661,009","1,720,317","1,675,442","1,714,871","1,807,246","1,744,618","1,716,048","1,735,081","2,110,957","2,166,510","2,064,033","2,056,718","1,631,617"
"Aguascalientes","28,911","24,010","25,021","22,885","21,036","21,490","24,344","25,004","24,723","21,333","21,468","24,116","23,988","23,601","20,093","21,335","22,428","21,296","24,612","25,310","23,873","23,308","22,698"
"Baja California","56,131","51,617","42,645","54,479","54,024","48,710","50,641","43,077","42,544","44,758","44,257","46,511","50,967","48,313","53,446","45,239","40,167","41,768","41,459","46,386","48,807","45,385","42,582"
"Baja California Sur","12,842","11,995","12,658","10,477","8,671","8,421","9,071","8,300","8,239","8,367","8,584","8,522","8,061","7,178","7,609","7,674","7,799","8,655","7,943","8,807","8,664","8,667","7,731"
"Campeche","17,419","15,902","16,382","14,173","13,502","12,695","11,098","13,908","14,125","14,560","14,861","14,319","14,046","13,568","14,140","13,036","13,607","14,426","16,296","16,395","16,416","16,342","14,011"
"Coahuila de Zaragoza","59,776","50,968","45,096","46,006","44,056","44,112","45,956","38,851","34,049","34,049","34,049","36,285","37,124","40,847","41,946","40,865","40,752","39,879","51,881","51,835","43,680","41,272","33,069"
"Colima","11,003","11,447","12,459","10,439","9,581","8,457","9,475","13,838","8,825","8,978","9,266","9,266","9,010","8,525","9,668","9,361","9,653","8,270","11,473","11,733","12,025","12,336","11,500"
"Chiapas","91,189","99,114","96,596","95,301","90,293","89,281","82,635","78,353","76,705","70,028","77,351","74,705","77,757","80,855","87,561","74,678","71,797","72,926","97,536","89,528","82,585","80,456","76,845"
"Chihuahua","65,816","62,215","51,713","55,595","55,891","56,849","54,405","61,962","28,081","49,962","50,301","50,710","46,189","43,279","46,857","41,265","44,159","46,048","55,576","57,352","58,729","56,325","50,545"
