"","3.2.6.Tasa de mortalidad en niños menores de 5 años por enfermedades respiratorias agudas (defunciones por cada 100 mil menores de 5 años)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","1,827","2,107","2,298","2,224","2,534","2,564","2,683","2,767","3,000","3,556","3,820","4,365","4,176","4,764","4,642","5,316","6,335","7,170","9,192","10,174","10,830","11,953","11,288","12,537","12,924","14,168"
"Aguascalientes","4","12","14","7","11","5","12","20","9","20","15","12","15","14","10","19","22","24","45","25","65","55","56","47","75","76"
"Baja California","32","56","46","40","41","43","47","47","51","62","70","85","69","80","114","141","171","149","172","166","194","194","205","173","205","241"
"Baja California Sur","2","7","9","7","5","2","7","7","8","14","7","10","12","7","16","15","10","9","17","12","9","18","9","6","13","16"
"Campeche","9","13","13","9","13","12","13","9","9","9","11","11","18","22","2","19","24","18","34","40","36","46","38","38","46","51"
"Coahuila de Zaragoza","13","27","31","15","23","19","23","32","25","45","49","44","43","39","59","55","64","68","120","135","117","126","142","151","200","200"
"Colima","5","5","1","9","3","8","9","9","3","4","8","6","3","9","6","2","8","11","11","21","24","26","26","21","19","27"
"Chiapas","289","261","212","235","204","231","270","271","282","320","359","501","425","433","384","567","467","753","755","770","852","929","914","835","788","798"
"Chihuahua","57","82","87","68","76","68","74","93","106","89","133","131","85","97","154","86","155","183","246","198","259","282","269","296","288","282"
"Ciudad de México","123","199","213","195","184","169","180","175","232","244","227","217","209","258","234","256","300","331","449","482","547","526","552","618","681","791"
"Durango","20","18","17","17","11","20","18","24","13","20","20","42","11","27","69","40","76","97","93","146","162","113","134","139","186","210"
"Guanajuato","67","75","61","51","72","55","65","98","101","133","126","137","176","234","176","251","332","377","555","625","651","719","768","903","943","1,044"
"Guerrero","50","76","68","59","101","65","89","76","70","83","111","152","201","144","157","219","234","288","322","385","451","451","343","324","498","499"
"Hidalgo","34","55","42","29","42","48","47","38","36","78","81","68","71","119","98","124","165","203","233","274","321","375","376","419","404","477"
"Jalisco","70","93","74","83","94","88","102","76","88","117","140","141","119","151","144","155","185","201","375","391","512","503","502","563","688","747"
"México","194","258","570","617","750","767","738","790","872","993","1,017","1,123","1,043","1,223","1,134","1,261","1,524","1,553","1,965","2,093","2,199","2,523","2,370","2,806","2,768","2,919"
"Michoacán de Ocampo","77","93","87","64","71","90","100","73","97","136","103","156","148","152","158","173","222","264","406","407","405","428","373","482","450","529"
"Morelos","8","14","23","16","25","16","38","25","18","22","31","23","40","38","32","50","34","44","63","72","73","84","81","88","99","104"
"Nayarit","12","26","16","20","7","11","12","18","12","19","13","13","12","11","13","18","24","28","25","52","37","42","49","67","57","60"
"Nuevo León","31","28","33","20","21","27","32","28","30","27","37","31","51","33","54","48","45","51","88","94","131","159","142","160","199","245"
"Oaxaca","120","106","113","104","120","114","127","120","142","154","173","237","225","231","253","315","362","418","460","643","697","746","660","595","531","559"
"Puebla","158","161","181","176","236","249","228","279","310","322","394","465","444","544","486","558","696","760","926","1,022","1,044","1,243","1,145","1,248","1,250","1,472"
"Querétaro","16","19","22","24","24","19","30","32","33","35","43","49","48","68","54","62","78","97","145","157","198","201","194","227","234","268"
"Quintana Roo","37","21","10","13","17","14","12","13","23","34","9","14","23","15","10","24","20","23","33","52","37","53","36","41","27","37"
"San Luis Potosí","44","54","38","32","47","47","56","69","58","80","90","105","109","106","112","94","164","146","264","283","274","307","309","357","407","377"
"Sinaloa","44","23","26","21","29","24","33","31","42","38","40","41","46","37","41","65","74","52","129","139","97","107","116","113","169","125"
"Sonora","34","26","29","36","27","35","37","40","43","54","52","53","48","52","55","66","61","81","119","134","105","122","131","135","174","194"
"Tabasco","37","42","40","41","53","42","28","35","32","61","49","67","57","65","59","62","79","88","120","135","100","157","124","157","132","202"
"Tamaulipas","21","25","12","11","20","23","28","23","20","35","57","50","26","48","62","45","68","91","99","124","126","148","131","173","137","217"
"Tlaxcala","20","23","24","26","22","42","22","30","37","62","70","79","88","109","96","102","127","139","167","201","215","240","205","258","275","282"
"Veracruz de Ignacio de la Llave","140","151","142","131","140","159","154","129","145","174","225","255","233","306","316","339","436","490","574","675","676","781","639","783","686","771"
"Yucatán","50","35","20","28","23","34","30","21","27","44","26","21","39","37","35","42","41","53","73","92","97","103","88","98","73","119"
"Zacatecas","9","23","24","20","22","18","22","36","26","28","34","26","39","55","49","43","67","80","109","129","119","146","161","216","222","229"
