"3.3.8.Prevalencia de VIH en población adulta (15 a 49 años)",""
"Periodo","Estimación de personas de 15 a 49 años con VIH"
"2015","162,220"
"2014","158,856"
"2013","155,472"
"2012","152,135"
"2011","149,188"
"2010","146,444"
"2009","143,846"
"2008","141,441"
"2007","139,416"
"2006","137,935"
"2005","137,204"
"2004","136,941"
"2003","137,410"
"2002","138,760"
"2001","140,678"
"2000","142,666"
"1999","144,425"
"1998","145,079"
"1997","144,243"
"1996","141,541"
"1995","136,541"
"1994","128,611"
"1993","116,724"
"1992","99,397"
"1991","75,549"
"1990","46,339"
