"","3.3.9.Tasa de mortalidad por VIH/SIDA (por 100 mil habitantes)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","4,751","4,807","4,975","4,972","5,036","4,857","5,114","5,183","5,093","4,944","4,650","4,719","4,607","4,463","4,317","4,196","4,181","4,082","4,171","4,338","3,986","3,482","3,138","2,529","2,008","1,493"
"Aguascalientes","22","27","34","27","22","22","26","20","35","41","39","35","37","18","31","18","26","23","22","24","23","22","11","11","9","2"
"Baja California","260","223","275","285","282","262","275","279","290","275","269","281","234","254","203","270","234","207","205","213","181","163","109","54","88","42"
"Baja California Sur","38","52","40","46","53","36","34","44","23","45","32","34","24","22","20","23","15","19","19","8","16","11","6","4","9","2"
"Campeche","79","79","63","77","50","45","58","59","63","42","35","37","42","47","31","36","20","26","21","21","14","6","10","10","4","4"
"Coahuila de Zaragoza","67","70","108","87","77","74","85","74","92","79","72","82","74","78","58","63","48","61","48","68","52","45","41","39","26","18"
"Colima","58","48","53","60","46","32","46","42","49","31","32","29","29","32","27","21","33","28","32","18","27","17","15","14","7","8"
"Chiapas","230","232","245","249","241","226","266","261","243","256","225","203","189","153","164","143","115","100","72","64","50","34","24","13","7","7"
"Chihuahua","160","135","131","142","166","166","161","216","202","199","170","172","183","162","139","126","112","93","114","77","86","67","50","51","28","18"
"Ciudad de México","363","373","409","426","401","417","502","510","542","506","512","520","553","549","609","623","689","773","890","981","983","887","804","757","657","500"
"Durango","35","55","44","28","43","39","38","38","46","31","43","43","31","37","28","29","38","23","30","29","31","16","14","18","10","6"
"Guanajuato","101","89","82","90","112","91","95","93","121","96","114","122","127","122","111","109","113","89","81","102","76","79","58","48","22","25"
"Guerrero","167","174","180","152","173","200","186","185","176","184","174","183","188","174","167","146","145","147","138","117","112","84","99","50","50","29"
"Hidalgo","39","40","54","48","45","46","56","43","47","42","34","45","40","45","51","36","37","39","32","40","37","32","35","24","9","10"
"Jalisco","229","237","290","268","293","283","287","279","290","284","317","322","374","347","341","338","394","363","347","416","427","346","350","291","228","189"
"México","417","388","432","450","447","406","431","450","440","421","399","388","383","410","434","463","481","480","546","583","531","486","514","391","364","268"
"Michoacán de Ocampo","97","85","91","113","92","107","100","80","97","84","94","94","97","103","94","93","103","91","74","100","77","75","63","61","33","30"
"Morelos","86","91","92","78","77","66","98","87","79","81","80","82","81","96","84","87","116","89","92","108","91","63","75","39","49","39"
"Nayarit","68","79","71","60","80","64","47","60","65","53","65","50","62","51","49","42","40","34","52","46","37","40","28","32","26","8"
"Nuevo León","187","212","193","187","176","216","190","191","152","182","166","179","155","151","161","128","154","149","132","150","155","121","101","84","59","52"
"Oaxaca","97","149","153","133","151","155","187","200","188","204","157","137","127","138","141","129","113","128","97","94","77","72","39","26","22","13"
"Puebla","176","181","186","199","200","168","193","206","224","197","177","252","202","226","194","206","211","222","247","251","197","193","203","144","89","81"
"Querétaro","54","51","61","51","41","33","55","33","51","46","27","27","35","27","28","28","26","35","34","32","26","28","15","12","6","5"
"Quintana Roo","150","153","134","120","135","134","105","93","93","95","87","98","75","63","65","73","52","36","43","41","19","21","22","17","4","5"
"San Luis Potosí","65","79","52","75","61","63","68","68","61","66","51","45","55","48","50","36","54","36","46","42","37","46","35","31","18","11"
"Sinaloa","82","80","91","84","102","88","87","118","97","111","91","103","82","86","81","57","75","69","91","100","72","62","43","33","32","11"
"Sonora","117","119","127","134","114","117","127","111","100","96","94","84","81","69","59","54","46","59","47","40","50","39","24","14","18","15"
"Tabasco","248","263","247","251","243","253","218","226","196","192","157","143","153","134","105","90","87","86","78","58","41","30","16","17","4","4"
"Tamaulipas","202","200","195","186","217","183","187","183","186","185","148","144","146","106","105","107","79","68","73","72","63","63","41","34","19","18"
"Tlaxcala","29","18","28","21","27","34","26","22","21","28","28","21","24","29","26","25","26","26","23","27","31","18","17","17","12","6"
"Veracruz de Ignacio de la Llave","700","681","685","701","733","684","740","779","698","692","655","643","630","580","554","495","395","377","333","311","274","218","184","140","63","45"
"Yucatán","115","117","113","133","112","120","118","113","111","80","85","95","75","82","92","82","82","94","97","85","73","84","77","50","29","19"
"Zacatecas","13","27","16","11","24","27","22","20","15","20","21","26","19","24","15","20","22","12","15","20","20","14","15","3","7","3"
