"","4.6.3.Tasa de alfabetización de las mujeres de 15 a 24 años de edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","10,906,938","10,912,357","10,904,381","10,879,853","10,838,135","10,781,796","10,715,052","10,639,429","10,558,905","10,471,379","10,390,317","10,322,908","10,272,383","10,239,503","10,210,027","10,181,102","10,157,422","10,136,995","10,107,431","10,067,354","10,015,750","9,949,120","9,864,529","9,761,929","9,641,998","9,505,091","9,350,765"
"Aguascalientes","122,370","121,872","121,179","120,255","119,091","117,719","116,190","114,568","112,875","111,064","109,333","107,810","106,545","105,526","104,581","103,705","102,996","102,397","101,741","101,014","100,203","99,268","98,164","96,884","95,421","93,771","91,906"
"Baja California","316,176","315,101","313,300","310,598","307,083","302,828","297,971","292,858","287,527","282,089","276,809","271,682","266,782","262,127","257,505","252,920","248,476","243,964","239,117","234,087","228,795","223,159","217,100","210,569","203,497","195,854","187,653"
"Baja California Sur","68,553","67,092","65,548","63,916","62,230","60,505","58,756","56,996","55,323","53,720","52,214","50,847","49,654","48,567","47,572","46,657","45,832","45,094","44,298","43,429","42,483","41,458","40,344","39,167","37,932","36,649","35,333"
"Campeche","81,796","82,072","82,239","82,246","82,059","81,688","81,173","80,532","79,778","78,920","78,007","77,103","76,243","75,432","74,622","73,779","72,862","71,835","70,670","69,373","67,951","66,399","64,728","62,959","61,112","59,231","57,339"
"Coahuila de Zaragoza","263,472","262,140","260,317","257,995","255,228","252,116","248,899","245,789","242,750","239,782","237,187","235,171","233,845","233,232","233,084","233,318","233,829","234,352","234,747","235,047","235,114","234,756","233,816","232,235","230,031","227,200","223,736"
"Colima","62,950","62,876","62,777","62,602","62,336","61,959","61,457","60,837","60,141","59,349","58,539","57,756","57,035","56,487","55,956","55,449","55,038","54,696","54,375","53,982","53,526","52,983","52,345","51,612","50,780","49,857","48,860"
"Chiapas","539,323","536,610","532,850","528,003","522,096","515,586","508,864","501,823","494,741","487,461","480,312","473,357","466,580","459,468","452,376","444,877","436,799","428,433","419,004","409,356","399,502","389,435","379,182","368,787","358,307","347,824","337,386"
"Chihuahua","326,346","325,095","323,501","321,446","318,898","316,073","313,056","309,945","306,587","303,132","300,009","297,346","295,200","293,681","292,354","290,984","289,663","288,287","286,699","284,987","283,142","281,053","278,601","275,719","272,303","268,279","263,595"
"Ciudad de México","677,904","688,426","699,447","710,793","722,337","734,006","745,915","758,061","770,165","781,830","793,454","805,430","818,027","831,532","845,180","858,833","872,557","886,221","899,877","913,382","926,415","938,481","949,087","958,009","965,230","970,833","974,767"
"Durango","164,595","164,393","163,857","162,927","161,601","160,018","158,342","156,621","155,090","153,389","151,831","150,598","149,759","149,727","149,890","150,127","150,459","150,854","151,539","152,070","152,460","152,648","152,554","152,162","151,473","150,483","149,202"
"Guanajuato","558,275","560,240","561,254","561,104","559,837","558,001","555,883","553,000","549,426","544,871","541,201","539,075","538,440","538,589","538,591","538,008","537,684","538,139","537,583","536,485","534,720","532,127","528,569","524,104","518,758","512,495","505,163"
"Guerrero","356,222","357,044","356,805","355,270","352,562","348,885","344,645","340,062","335,231","330,139","325,458","321,519","318,674","317,147","315,998","315,072","314,423","313,948","313,453","312,778","311,908","310,700","309,081","307,129","304,959","302,613","299,973"
"Hidalgo","259,943","259,931","259,734","259,299","258,532","257,371","255,820","253,934","251,963","249,763","247,822","246,414","245,599","245,308","245,049","244,890","245,204","245,849","246,234","246,352","246,217","245,741","244,860","243,643","242,137","240,250","237,853"
"Jalisco","710,463","710,920","710,816","709,894","708,044","705,199","701,499","697,131","692,126","686,207","680,265","674,857","670,215","667,693","665,016","662,244","659,914","657,771","656,324","654,034","651,010","647,047","641,915","635,629","628,226","619,692","610,052"
"México","1,489,544","1,485,630","1,480,565","1,474,032","1,465,689","1,455,471","1,443,691","1,430,570","1,416,837","1,402,868","1,389,340","1,376,531","1,364,740","1,354,803","1,345,305","1,336,083","1,327,681","1,319,976","1,311,520","1,300,841","1,287,971","1,272,578","1,254,354","1,233,076","1,208,642","1,181,000","1,150,339"
"Michoacán de Ocampo","427,026","430,641","433,710","435,903","437,122","437,519","437,254","436,290","434,716","432,192","429,716","427,842","426,782","427,319","427,626","427,553","427,653","427,816","427,964","427,497","426,584","425,120","423,020","420,312","417,023","413,146","408,688"
