"8.2.1.Tasa de crecimiento del PIB por persona ocupada",""
"Periodo","PIB anual Base 2008 a precios corrientes según el valor de la Paridad del Poder de Compra"
"2016","2,268,803,656.0"
"2015","2,170,909,572.5"
"2014","2,156,875,780.6"
"2013","2,044,304,506.7"
"2012","1,988,482,920.4"
"2011","1,896,258,212.1"
"2010","1,732,191,877.0"
"2009","1,627,727,051.4"
"2008","1,640,914,513.7"
"2007","1,551,984,889.1"
"2006","1,466,447,074.0"
"2005","1,324,755,570.8"
"2004","1,212,330,482.0"
"2003","1,131,771,430.0"
"2002","1,092,589,214.2"
"2001","1,073,836,162.4"
"2000","1,060,833,729.6"
"1999","983,349,456.7"
"1998","923,156,592.0"
"1997","874,166,060.0"
"1996","802,928,430.5"
