"","8.5.2.Tasa de desocupación, desglosada por sexo y edad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","","","","","","","","","","","","2015","","","","","","","","","","","","2014","","","","","","","","","","","","2013","","","","","","","","","","","","2012","","","","","","","","","","","","2011","","","","","","","","","","","","2010","","","","","","","","","","","","2009","","","","","","","","","","","","2008","","","","","","","","","","","","2007","","","","","","","","","","","","2006","","","","","","","","","","","","2005","","","","","","","","","","","","2004","","","","","","","","","","","","2003","","","","","","","","","","","","2002","","","","","","","","","","","","2001","","","","","","","","","","","","2000","","","","","","","","","","","","1999","","","","","","","","","","","","1998","","","","","","","","","","","","1997","","","","","","","","","","","","1996","","","","","","","","","","","","1995","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más","Total","De 15 a 24 años","De 25 a 64 años","De 65 años y más"
"","2,085,206","734,869","1,324,151","25,363","1,276,721","440,840","812,366","22,984","808,485","294,030","511,785","2,379","2,293,793","828,775","1,434,474","30,229","1,393,215","489,369","876,918","26,735","900,578","339,407","557,556","3,494","2,508,642","923,095","1,552,268","33,130","1,551,552","556,806","966,349","28,247","957,090","366,289","585,919","4,882","2,559,774","945,846","1,575,983","37,455","1,571,208","558,767","979,567","32,421","988,567","387,079","596,416","5,034","2,522,033","965,865","1,520,452","35,004","1,560,606","584,749","943,953","31,431","961,427","381,115","576,500","3,573","2,582,815","993,272","1,553,508","35,476","1,617,775","603,081","981,521","32,644","965,040","390,191","571,987","2,833","2,596,168","986,744","1,573,724","34,707","1,644,454","605,415","1,007,330","31,210","951,714","381,329","566,394","3,497","2,583,010","995,983","1,554,785","31,948","1,610,559","595,690","986,647","28,087","972,451","400,293","568,139","3,861","1,825,687","757,254","1,043,026","25,220","1,113,088","439,893","651,103","21,905","712,599","317,361","391,923","3,316","1,673,292","708,152","942,614","22,032","979,215","403,648","555,942","19,160","694,077","304,504","386,672","2,873","1,604,057","681,183","900,290","22,265","952,113","385,975","546,845","19,154","651,944","295,208","353,445","3,111","1,552,365","661,399","868,931","21,501","927,555","370,881","539,512","16,720","624,810","290,519","329,419","4,781","1,632,865","752,052","864,299","16,502","872,065","379,328","479,242","13,483","760,800","372,724","385,057","3,019","1,383,388","647,528","723,192","12,669","774,183","332,789","430,895","10,500","609,205","314,738","292,297","2,170","1,181,603","556,420","613,370","11,813","668,277","293,074","366,562","8,642","513,326","263,346","246,808","3,171","1,074,751","518,938","545,795","9,961","599,749","263,987","326,772","8,931","475,003","254,950","219,023","1,030","996,409","500,980","484,304","10,924","538,227","262,482","266,100","9,528","458,182","238,497","218,204","1,396","938,441","400,441","527,584","10,416","486,357","185,596","292,180","8,581","452,084","214,845","235,404","1,835","1,347,157","660,800","662,055","24,302","714,205","339,733","358,110","16,362","632,952","321,067","303,945","7,940","1,497,235","736,456","739,611","21,168","719,027","361,077","337,461","20,489","778,208","375,379","402,150","679","1,855,423","928,847","911,090","15,486","1,049,323","497,272","536,960","15,091","806,100","431,575","374,130","395","2,378,969","1,152,890","1,201,393","24,605","1,399,459","611,454","771,440","16,484","979,510","541,436","429,953","8,121"
"Aguascalientes","22,439","9,279","13,083","44","14,207","5,757","8,372","44","8,232","3,521","4,711","0","24,475","10,457","13,759","244","16,586","6,879","9,484","207","7,889","3,577","4,275","37","32,044","14,846","16,976","222","20,900","9,628","11,099","174","11,144","5,218","5,877","49","29,465","12,224","16,944","298","19,633","7,776","11,560","298","9,832","4,448","5,384","0","31,949","13,017","18,641","291","21,971","9,063","12,640","269","9,977","3,954","6,001","22","33,331","12,875","19,970","458","21,962","8,207","13,360","395","11,369","4,667","6,610","62","33,672","14,747","18,559","306","22,222","9,491","12,531","201","11,450","5,257","6,029","106","34,809","14,689","19,924","197","22,696","9,459","13,094","143","12,112","5,230","6,830","53","25,872","11,474","14,239","159","17,302","7,743","9,401","159","8,570","3,732","4,838","0","22,091","10,292","11,476","271","13,897","6,211","7,403","232","8,193","4,081","4,073","39","19,658","9,355","10,177","96","12,863","6,258","6,523","52","6,795","3,097","3,654","44","20,463","10,382","9,880","201","14,325","7,006","7,118","201","6,138","3,376","2,762","0","18,607","10,050","8,531","26","10,935","5,669","5,240","26","7,672","4,381","3,291","0","13,870","6,396","7,380","94","8,555","3,884","4,577","94","5,314","2,512","2,803","0","11,031","5,385","5,548","98","6,175","2,729","3,349","98","4,856","2,657","2,199","0","9,268","5,017","4,209","43","5,214","2,612","2,560","43","4,054","2,405","1,649","0","9,168","5,368","3,795","6","5,276","3,080","2,190","6","3,893","2,287","1,605","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","11,768","6,782","4,917","69","7,078","3,447","3,562","69","4,690","3,335","1,355","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","17,265","8,800","8,338","127","11,215","5,774","5,314","127","6,050","3,026","3,024","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Baja California","42,380","15,680","25,939","760","26,105","8,628","16,846","630","16,275","7,052","9,093","130","65,155","22,170","42,156","829","43,268","14,850","27,753","665","21,887","7,320","14,403","164","86,821","35,603","50,184","1,035","56,728","22,011","33,846","871","30,093","13,591","16,338","164","81,886","31,531","49,454","901","51,713","20,457","30,479","777","30,173","11,074","18,975","124","93,426","33,870","58,378","1,179","61,484","22,122","38,257","1,105","31,943","11,748","20,121","74","87,588","30,707","56,084","797","55,621","19,066","35,757","797","31,968","11,641","20,327","0","78,133","26,624","50,467","1,042","52,299","17,253","34,104","943","25,835","9,372","16,364","100","91,985","36,539","54,663","783","60,144","22,873","36,643","628","31,842","13,666","18,020","156","45,042","20,392","24,145","506","27,913","12,427","15,074","412","17,130","7,965","9,071","94","25,445","10,776","14,245","425","16,782","6,212","10,193","377","8,663","4,564","4,051","48","22,587","9,635","12,899","54","14,058","5,769","8,236","54","8,529","3,866","4,663","0","17,145","7,356","9,593","197","9,762","4,241","5,373","148","7,384","3,115","4,220","49","20,936","8,976","11,833","127","11,262","4,608","6,528","127","9,673","4,369","5,305","0","32,365","12,838","19,222","304","18,065","6,835","11,059","171","14,300","6,003","8,163","134","30,708","13,100","17,300","308","17,122","6,670","10,144","308","13,586","6,430","7,156","0","17,427","7,089","10,173","165","10,115","4,004","5,947","165","7,311","3,085","4,226","0","20,488","8,623","11,549","316","10,353","4,093","5,944","316","10,136","4,531","5,605","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27,172","13,098","13,333","741","14,910","6,400","7,769","741","12,262","6,698","5,564","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","29,745","14,566","14,866","313","16,065","8,253","7,499","313","13,680","6,313","7,367","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Baja California Sur","17,554","6,844","10,522","188","9,959","4,160","5,658","141","7,595","2,684","4,864","47","17,859","7,034","10,471","354","9,945","3,959","5,632","354","7,914","3,074","4,840","0","21,038","7,534","13,256","248","11,555","3,962","7,399","194","9,483","3,572","5,857","54","18,899","7,481","11,191","227","11,212","4,346","6,639","227","7,687","3,135","4,553","0","17,807","7,673","10,028","106","9,972","4,560","5,353","60","7,835","3,113","4,676","46","18,969","7,106","11,605","258","11,479","3,979","7,243","258","7,490","3,128","4,363","0","17,901","6,497","11,200","187","10,934","3,771","6,959","187","6,967","2,726","4,241","0","16,172","5,836","10,207","130","9,525","3,566","5,829","130","6,647","2,270","4,377","0","9,271","3,999","5,232","40","5,535","2,722","2,773","40","3,736","1,277","2,459","0","5,612","2,537","2,990","86","3,450","1,596","1,768","86","2,163","941","1,222","0","5,006","2,291","2,700","15","2,682","1,263","1,412","8","2,324","1,028","1,288","8","5,463","2,126","3,323","15","2,870","1,199","1,656","15","2,594","927","1,667","0","5,042","2,284","2,614","145","2,904","1,131","1,643","130","2,138","1,153","971","15","4,679","2,192","2,463","24","2,454","1,038","1,392","24","2,226","1,155","1,071","0","4,877","2,167","2,663","48","3,155","1,291","1,850","14","1,722","876","813","34","5,142","2,594","2,520","28","2,932","1,365","1,539","28","2,210","1,229","981","0","5,958","3,281","2,582","95","3,142","1,860","1,187","95","2,816","1,421","1,395","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5,578","3,234","2,166","178","2,061","935","1,126","0","3,517","2,299","1,040","178","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8,237","3,112","5,011","114","3,676","1,322","2,240","114","4,561","1,790","2,771","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Campeche","15,184","3,822","11,281","81","9,343","2,438","6,824","81","5,841","1,384","4,457","0","11,694","3,383","8,267","44","7,462","2,129","5,290","44","4,231","1,254","2,978","0","11,181","3,940","7,159","82","7,033","2,271","4,680","82","4,149","1,669","2,480","0","9,793","3,814","5,950","29","5,137","2,106","3,002","29","4,656","1,708","2,948","0","8,576","3,497","5,026","53","5,116","2,162","2,911","44","3,460","1,335","2,115","10","11,237","4,416","6,730","91","7,017","2,476","4,459","82","4,220","1,941","2,270","9","11,345","4,729","6,495","122","6,944","3,061","3,761","122","4,401","1,668","2,734","0","10,019","4,220","5,719","80","6,298","2,610","3,628","60","3,721","1,610","2,091","20","7,362","3,128","4,103","131","4,558","1,922","2,505","131","2,804","1,206","1,598","0","7,026","2,914","4,066","45","4,467","1,930","2,492","45","2,559","985","1,574","0","7,392","3,724","3,658","11","4,974","2,420","2,543","11","2,419","1,304","1,115","0","8,187","4,422","3,740","25","4,702","2,443","2,234","25","3,485","1,980","1,506","0","7,254","4,653","2,552","50","3,529","2,173","1,307","50","3,725","2,480","1,246","0","5,820","2,850","2,926","45","3,099","1,361","1,699","39","2,721","1,489","1,227","6","5,523","2,916","2,600","8","3,095","1,793","1,295","8","2,428","1,123","1,305","0","5,829","3,084","2,713","32","2,818","1,486","1,301","32","3,011","1,599","1,412","0","6,360","3,351","2,965","43","3,430","1,662","1,725","43","2,930","1,690","1,240","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5,907","2,684","3,210","13","3,186","1,484","1,689","13","2,721","1,200","1,521","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7,014","2,527","4,487","0","3,171","1,340","1,831","0","3,843","1,187","2,656","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Coahuila de Zaragoza","59,399","24,978","33,415","1,006","33,829","15,447","17,405","977","25,570","9,531","16,010","29","66,973","28,762","37,587","624","37,470","16,905","19,979","586","29,503","11,857","17,608","38","70,202","28,493","40,787","921","42,694","16,947","24,924","824","27,508","11,547","15,864","98","72,739","30,979","40,682","1,078","42,859","18,414","23,442","1,003","29,881","12,566","17,240","75","70,620","31,287","38,058","1,276","40,198","17,583","21,633","982","30,423","13,704","16,425","294","73,741","33,096","39,816","830","40,416","18,070","21,516","830","33,325","15,026","18,299","0","89,847","35,508","52,928","1,411","54,803","21,712","31,738","1,354","35,044","13,796","21,190","58","96,887","38,958","57,151","778","60,587","25,100","34,872","616","36,300","13,857","22,280","163","64,066","31,171","31,864","1,031","36,749","16,921","18,817","1,011","27,317","14,250","13,047","21","59,394","27,365","31,412","618","33,340","14,671","18,193","476","26,055","12,694","13,219","142","58,931","26,030","31,669","1,232","35,715","14,691","19,816","1,209","23,216","11,339","11,854","24","46,261","22,389","23,587","286","28,995","12,998","15,773","223","17,267","9,391","7,814","62","47,541","23,317","23,666","558","26,161","12,084","13,519","558","21,380","11,233","10,147","0","53,029","25,549","27,213","267","31,475","14,690","16,518","267","21,554","10,859","10,695","0","45,328","21,632","23,460","237","29,420","13,481","15,739","200","15,908","8,151","7,721","36","33,110","17,315","15,692","104","18,921","9,120","9,697","104","14,189","8,195","5,995","0","27,994","15,687","12,245","61","13,770","7,359","6,370","41","14,224","8,329","5,875","21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43,955","24,936","18,790","229","23,029","13,332","9,468","229","20,926","11,604","9,322","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","61,112","33,720","26,902","490","32,510","16,373","15,729","408","28,602","17,347","11,173","82","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Colima","14,840","5,224","9,313","303","8,514","2,914","5,336","265","6,326","2,310","3,978","38","16,659","6,127","10,201","332","9,220","3,558","5,330","332","7,439","2,569","4,870","0","16,675","6,313","9,835","527","9,590","3,302","5,815","473","7,085","3,011","4,020","54","17,999","6,062","11,469","469","10,473","3,193","6,884","395","7,527","2,869","4,585","74","15,283","6,127","8,939","217","9,045","3,576","5,253","217","6,237","2,551","3,686","0","14,628","5,306","8,814","509","8,805","3,227","5,202","377","5,823","2,079","3,612","132","14,213","5,590","8,146","477","8,428","3,306","4,708","415","5,785","2,285","3,439","62","13,641","5,909","7,500","231","8,092","3,277","4,593","222","5,549","2,633","2,907","10","8,814","3,883","4,815","116","5,360","2,241","3,037","83","3,454","1,643","1,778","34","8,291","3,812","4,277","202","4,838","1,971","2,691","176","3,453","1,841","1,586","26","9,289","3,881","5,174","233","5,644","2,197","3,259","189","3,644","1,685","1,916","44","8,222","3,491","4,570","152","4,952","2,116","2,676","152","3,270","1,375","1,894","0","6,419","2,916","3,319","184","2,961","1,132","1,736","94","3,458","1,784","1,583","90","5,476","2,623","2,803","51","2,681","1,204","1,433","44","2,795","1,419","1,369","6","5,597","2,943","2,596","58","2,695","1,093","1,544","58","2,902","1,851","1,052","0","7,072","3,068","3,896","108","3,804","1,502","2,202","99","3,268","1,565","1,694","9","6,612","2,961","3,519","132","2,960","1,349","1,574","37","3,652","1,612","1,945","95","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5,681","2,474","3,181","26","2,578","1,212","1,348","18","3,103","1,262","1,833","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5,997","3,374","2,556","67","3,039","1,500","1,472","67","2,958","1,874","1,084","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
