"","3.1.1.Razón de mortalidad materna","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","2,249,057","2,239,268","2,254,008","2,269,128","2,256,287","2,251,731","2,266,064","2,273,335","2,281,543","2,290,166","2,302,085","2,314,657","2,324,051","2,335,128","2,347,602","2,363,275","2,380,067","2,396,721","2,415,107","2,430,960","2,444,909","2,451,523","2,450,723","2,446,834","2,441,255","2,430,022"
"Aguascalientes","27,104","27,207","27,200","27,280","26,983","26,443","26,648","26,683","26,690","26,799","27,086","27,306","27,339","27,292","27,226","27,206","27,205","27,222","27,234","27,211","27,147","27,034","26,893","26,682","26,427","26,101"
"Baja California","59,283","58,781","56,694","58,135","56,655","56,386","56,968","56,568","56,042","55,755","55,377","54,691","54,028","53,506","53,186","53,077","53,018","53,014","52,973","52,675","51,951","50,790","49,425","48,022","46,737","45,300"
"Baja California Sur","12,347","12,602","12,457","12,885","12,622","11,371","11,136","10,928","10,727","10,548","10,387","10,239","10,102","9,981","9,874","9,801","9,732","9,653","9,571","9,485","9,391","9,278","9,191","9,108","8,995","8,843"
"Campeche","17,197","16,689","16,820","16,337","15,838","16,190","16,140","16,032","15,922","15,826","15,757","15,699","15,656","15,643","15,654","15,697","15,791","15,965","16,147","16,306","16,436","16,507","16,530","16,466","16,298","16,012"
"Coahuila de Zaragoza","60,064","59,530","59,245","58,151","55,705","54,164","54,413","54,592","54,789","55,094","55,392","55,610","55,880","56,174","56,461","56,759","57,039","57,281","57,512","57,628","57,684","57,681","57,570","57,285","56,872","56,379"
"Colima","13,473","13,608","13,346","12,728","12,713","13,077","13,121","13,121","13,026","12,900","12,779","12,661","12,517","12,378","12,276","12,242","12,260","12,325","12,447","12,618","12,781","12,889","12,977","13,060","13,099","13,088"
"Chiapas","112,466","113,042","113,201","112,247","115,745","114,631","115,450","116,149","116,972","117,942","119,084","120,166","121,161","122,155","123,082","123,863","124,337","124,586","124,561","124,050","123,074","121,709","119,823","117,848","116,184","114,499"
"Chihuahua","69,599","69,072","68,587","68,577","67,931","68,414","69,964","70,223","70,282","70,165","69,753","69,138","68,434","67,723","67,021","66,366","65,493","64,746","64,243","63,951","63,680","63,402","62,886","62,225","61,696","61,072"
"Ciudad de México","126,319","133,765","135,962","139,491","137,315","137,748","139,975","142,073","144,075","146,569","148,915","150,692","152,510","154,317","156,131","158,051","160,278","162,757","165,458","168,084","170,761","173,411","176,421","179,833","183,141","186,142"
"Durango","35,320","35,102","36,371","36,180","36,189","33,938","34,265","34,516","34,752","35,071","35,490","35,983","36,440","36,907","37,390","37,944","38,569","39,101","39,615","40,026","40,343","40,397","40,456","40,581","40,649","40,558"
"Guanajuato","115,405","115,638","117,425","120,609","120,082","115,916","116,631","117,266","117,894","118,859","120,512","122,073","123,173","124,334","125,656","127,407","129,289","131,035","132,722","134,097","135,439","136,454","137,145","137,035","136,891","137,106"
"Guerrero","72,767","73,247","74,060","73,814","76,587","76,380","77,686","78,596","79,611","80,877","82,450","84,073","85,545","87,023","88,548","90,194","92,025","93,730","95,163","96,337","97,271","97,657","97,516","97,127","96,714","95,543"
