"","3.2.5.Tasa de mortalidad en niños menores de 5 años por enfermedades diarreicas (defunciones por cada 100 mil menores de 5 años)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","11,048,670","11,063,613","11,094,672","11,125,014","11,156,442","11,194,497","11,218,493","11,233,123","11,254,917","11,290,569","11,345,916","11,398,618","11,444,833","11,498,942","11,555,915","11,604,152","11,666,504","11,734,791","11,768,223","11,779,274","11,764,566","11,718,295","11,647,814","11,559,466","11,462,157","11,378,425"
"Aguascalientes","126,451","126,569","126,944","127,172","127,314","127,795","128,317","128,672","129,118","129,696","130,175","130,142","129,821","129,615","129,480","129,206","128,918","128,687","128,189","127,454","126,445","125,136","123,539","121,647","119,538","117,540"
"Baja California","300,041","298,453","298,470","298,154","298,135","299,683","299,656","297,301","295,711","294,255","292,934","292,135","291,965","292,230","292,475","291,555","289,637","286,935","282,456","276,632","269,974","262,490","254,742","247,046","238,537","228,969"
"Baja California Sur","69,079","67,944","66,821","65,623","64,337","62,801","61,209","59,794","58,459","57,209","56,070","54,968","53,908","52,948","52,089","51,408","50,851","50,266","49,621","48,982","48,260","47,439","46,629","45,864","45,123","44,621"
"Campeche","83,842","83,423","83,028","82,553","82,033","81,513","80,891","80,269","79,773","79,408","79,158","78,984","79,009","79,300","79,781","80,450","81,244","81,937","82,381","82,532","82,273","81,541","80,364","78,801","77,051","75,571"
"Coahuila de Zaragoza","267,531","267,677","268,248","268,903","269,746","270,917","271,722","272,266","273,104","274,079","275,125","276,219","277,155","277,844","278,210","277,829","277,356","277,085","276,193","274,724","272,702","270,016","266,732","262,917","259,075","257,352"
"Colima","63,310","62,908","62,736","62,604","62,417","62,211","61,961","61,319","60,591","59,935","59,379","58,914","58,566","58,385","58,480","58,787","59,437","60,322","61,106","61,789","62,264","62,517","62,604","62,482","62,114","61,531"
"Chiapas","553,875","555,434","557,597","559,954","562,643","565,849","569,129","572,761","576,824","581,331","586,248","590,124","592,770","595,055","596,257","596,193","594,141","589,563","582,486","573,688","564,305","554,186","543,007","531,968","522,475","514,105"
"Chihuahua","340,273","340,520","343,055","345,408","348,064","352,024","353,382","351,467","349,658","347,456","345,326","343,184","340,813","338,440","336,163","333,768","330,665","327,863","325,536","322,844","319,806","316,030","311,326","306,530","301,981","297,817"
"Ciudad de México","623,501","632,373","641,705","650,915","660,518","671,491","682,073","691,681","701,437","711,049","719,796","728,452","737,578","747,346","757,964","768,988","782,431","797,643","812,361","827,902","843,990","860,341","876,611","891,410","904,549","916,362"
"Durango","164,481","165,031","165,937","166,851","167,784","168,917","169,943","170,863","172,074","173,638","175,377","177,355","179,461","181,430","183,356","184,858","186,477","188,101","188,981","189,571","189,683","189,415","188,827","187,724","186,607","186,483"
"Guanajuato","560,147","562,140","564,654","566,972","568,967","571,505","574,270","577,616","581,548","587,456","595,653","602,784","608,631","615,568","622,543","628,373","634,446","641,175","645,550","647,657","648,358","647,839","645,255","642,361","642,251","642,902"
"Guerrero","357,903","361,316","365,436","369,299","373,182","377,524","381,407","385,387","390,247","395,956","402,263","408,346","414,361","420,609","426,719","432,394","438,351","443,394","445,799","446,935","446,324","443,018","437,945","431,694","424,694","420,849"
"Hidalgo","269,182","269,663","270,373","270,492","270,596","271,139","270,975","270,652","271,037","271,785","272,756","273,276","273,265","273,484","274,208","275,286","277,517","280,877","283,953","286,449","287,954","288,648","288,708","288,076","287,012","286,372"
"Jalisco","735,610","735,682","737,144","737,930","738,206","739,005","738,301","736,376","735,200","735,185","736,100","737,470","739,108","740,975","743,705","746,004","751,011","758,790","765,134","770,515","774,058","775,771","775,775","773,436","769,164","764,389"
"México","1,535,965","1,533,126","1,530,324","1,528,848","1,528,574","1,527,832","1,526,806","1,526,453","1,524,487","1,521,741","1,520,448","1,518,846","1,515,763","1,513,517","1,511,752","1,506,810","1,504,353","1,503,620","1,496,479","1,486,537","1,475,573","1,461,731","1,445,424","1,427,967","1,407,543","1,382,394"
"Michoacán de Ocampo","437,733","438,945","441,092","442,653","443,806","445,599","446,400","446,469","447,437","450,100","454,197","458,739","463,683","469,327","475,645","481,469","490,142","501,248","510,168","517,883","523,497","526,840","528,376","528,209","527,316","527,277"
"Morelos","171,755","171,216","170,882","170,256","169,627","169,358","168,812","168,047","167,557","167,307","167,295","167,714","168,446","169,353","170,683","171,765","173,967","177,275","179,823","181,822","182,657","182,366","181,371","179,544","176,917","174,469"
"Nayarit","115,541","114,576","113,908","113,060","111,960","110,508","108,537","106,486","104,755","103,407","102,539","102,034","101,745","101,665","101,926","102,451","103,634","105,131","106,284","107,268","107,855","107,992","107,781","107,369","107,014","106,877"
"Nuevo León","434,947","434,241","434,104","434,191","434,246","434,181","433,870","433,249","432,269","431,155","430,068","428,619","426,634","424,310","421,731","418,852","416,248","413,589","410,554","407,706","404,493","401,014","398,036","395,300","392,407","390,614"
"Oaxaca","395,799","397,562","399,646","401,387","402,931","404,715","406,304","408,245","411,028","415,611","422,021","427,304","431,826","437,450","442,828","448,556","453,920","457,814","460,848","463,073","463,077","460,856","457,187","452,174","447,539","447,320"
"Puebla","615,255","616,758","618,594","620,286","621,526","623,255","625,567","628,299","631,366","635,950","641,898","646,125","648,571","651,360","653,260","655,582","659,822","663,810","665,020","664,977","663,153","656,909","648,631","641,271","634,435","628,797"
"Querétaro","186,385","186,110","186,021","186,183","186,577","186,589","186,281","186,148","185,833","185,593","186,398","187,123","187,335","187,894","188,546","189,286","189,841","190,128","190,156","189,888","189,280","188,300","186,970","185,175","182,933","180,451"
"Quintana Roo","153,585","150,950","148,038","145,412","143,311","139,719","135,067","131,038","126,615","121,688","118,671","116,672","114,542","112,730","111,085","109,628","108,344","107,192","106,130","105,093","103,903","102,443","100,831","99,059","96,973","94,354"
"San Luis Potosí","262,301","263,019","264,061","264,846","265,481","266,375","267,079","267,818","269,350","271,803","274,784","277,710","280,392","282,964","285,492","287,583","290,372","293,691","295,853","297,264","297,820","297,366","296,019","293,865","291,419","289,710"
