"","3.3.12.Proporción de casos nuevos de tuberculosis pulmonar que curan al terminar el tratamiento","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007"
"Estados Unidos Mexicanos","12,663","12,817","12,790","12,567","12,622","12,299","11,823","11,860","11,432"
"Aguascalientes","37","26","37","30","36","53","36","36","35"
"Baja California","1,049","1,040","970","981","972","917","858","926","840"
"Baja California Sur","137","118","127","116","133","96","110","86","93"
"Campeche","86","83","100","86","97","89","76","64","90"
"Coahuila de Zaragoza","362","334","417","384","342","360","326","339","350"
"Colima","103","108","83","109","119","90","79","97","97"
"Chiapas","958","960","957","949","838","924","856","906","763"
"Chihuahua","414","398","401","435","472","458","447","411","431"
"Ciudad de México","305","293","334","324","314","322","290","314","313"
"Durango","117","122","110","145","155","112","118","141","133"
"Guanajuato","223","227","246","192","258","243","230","218","207"
"Guerrero","1,012","944","969","858","873","819","874","802","706"
"Hidalgo","120","136","150","190","165","186","180","188","181"
"Jalisco","480","525","475","513","453","482","438","412","572"
"México","429","406","374","461","449","407","405","415","357"
"Michoacán de Ocampo","202","227","231","212","264","232","234","216","270"
"Morelos","121","127","152","106","127","127","102","127","133"
"Nayarit","206","197","187","188","213","201","186","198","206"
"Nuevo León","827","719","831","822","831","739","635","704","665"
"Oaxaca","365","487","474","477","503","553","593","557","524"
"Puebla","305","397","332","335","352","301","339","347","349"
"Querétaro","93","105","107","117","98","85","99","108","69"
"Quintana Roo","217","191","166","190","169","172","161","120","103"
"San Luis Potosí","238","228","216","234","226","234","266","261","220"
"Sinaloa","643","611","586","581","529","577","516","550","537"
"Sonora","668","662","626","596","563","570","586","544","529"
"Tabasco","476","517","471","414","401","356","364","339","306"
"Tamaulipas","785","789","811","787","870","907","757","746","784"
"Tlaxcala","30","47","41","42","42","39","36","41","24"
"Veracruz de Ignacio de la Llave","1,456","1,614","1,598","1,517","1,569","1,497","1,448","1,431","1,383"
"Yucatán","147","134","164","133","141","107","123","157","119"
"Zacatecas","52","45","47","43","48","44","55","59","43"
