"","3.3.3.Tasa de incidencia asociada al paludismo (por 100 mil habitantes)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","121,005,816","119,713,203","118,395,054","117,053,751","115,682,867","114,255,557","112,852,594","111,299,015","109,787,388","108,408,827","107,151,011","105,951,569","104,719,891","103,417,944","102,122,295","100,895,811","99,706,067","98,485,424","97,204,604","95,876,664","94,490,336","93,055,300","91,600,655","90,132,585","88,630,941","87,064,847"
"Aguascalientes","1,287,660","1,270,174","1,252,265","1,233,921","1,215,094","1,195,787","1,175,942","1,154,011","1,133,032","1,114,099","1,096,736","1,079,814","1,062,250","1,043,783","1,025,563","1,008,447","991,858","974,940","957,443","939,507","921,048","902,128","882,995","863,697","844,162","824,227"
"Baja California","3,484,150","3,432,944","3,381,080","3,328,623","3,275,399","3,224,844","3,168,319","3,105,709","3,041,783","2,977,440","2,912,674","2,845,936","2,775,926","2,702,832","2,627,368","2,549,842","2,469,220","2,387,650","2,306,424","2,224,286","2,141,231","2,058,198","1,976,271","1,895,648","1,815,903","1,732,550"
"Baja California Sur","763,929","741,037","718,196","695,409","672,682","649,616","626,900","605,343","584,639","565,024","546,776","529,124","511,831","495,522","480,190","466,455","453,340","439,911","426,653","413,575","400,667","387,994","375,535","363,307","351,246","339,387"
"Campeche","907,878","894,136","880,299","866,375","852,373","836,748","824,071","809,636","795,450","781,620","768,097","754,622","741,113","727,546","714,008","700,708","687,422","673,672","659,417","644,818","629,897","614,694","599,335","583,930","568,384","553,106"
"Coahuila de Zaragoza","2,960,681","2,925,594","2,890,108","2,854,334","2,818,077","2,782,013","2,743,966","2,703,905","2,664,019","2,625,332","2,587,518","2,550,208","2,512,261","2,472,921","2,433,242","2,393,756","2,354,430","2,315,412","2,276,268","2,237,025","2,197,744","2,158,403","2,119,320","2,080,707","2,042,564","2,005,016"
"Colima","723,455","710,982","698,295","685,394","672,263","658,910","645,050","630,606","617,146","605,061","593,827","584,151","575,411","566,389","557,968","550,291","544,150","538,560","531,965","524,947","517,359","509,258","500,880","492,181","483,048","473,115"
"Chiapas","5,252,808","5,186,572","5,119,186","5,050,568","4,980,633","4,903,755","4,836,326","4,762,080","4,688,014","4,616,199","4,549,034","4,476,586","4,397,267","4,318,948","4,239,830","4,164,853","4,083,410","3,994,325","3,907,302","3,819,739","3,732,019","3,644,811","3,559,521","3,476,913","3,395,180","3,314,875"
"Chihuahua","3,710,129","3,673,342","3,635,966","3,598,792","3,559,248","3,525,273","3,485,093","3,431,517","3,376,544","3,322,439","3,270,309","3,218,865","3,165,454","3,107,892","3,048,688","2,987,927","2,926,998","2,868,346","2,810,765","2,753,282","2,695,309","2,636,937","2,578,946","2,521,954","2,465,322","2,408,000"
"Ciudad de México","8,854,600","8,874,724","8,893,742","8,911,665","8,928,400","8,944,599","8,961,594","8,969,421","8,973,450","8,977,954","8,980,415","8,982,860","8,982,214","8,973,544","8,961,129","8,944,935","8,928,176","8,912,913","8,895,216","8,875,396","8,853,087","8,828,375","8,801,777","8,772,275","8,738,833","8,695,562"
"Durango","1,764,726","1,746,805","1,728,429","1,709,741","1,690,418","1,669,815","1,650,042","1,628,321","1,605,415","1,585,478","1,566,228","1,551,703","1,540,255","1,525,797","1,511,810","1,497,613","1,488,305","1,482,259","1,472,961","1,462,829","1,451,581","1,439,646","1,427,650","1,415,393","1,402,493","1,389,199"
"Guanajuato","5,817,614","5,769,524","5,719,709","5,668,181","5,614,698","5,558,502","5,503,354","5,437,620","5,377,044","5,333,508","5,307,620","5,282,560","5,247,781","5,208,629","5,170,538","5,143,766","5,114,053","5,074,849","5,034,272","4,990,233","4,941,687","4,889,078","4,833,834","4,777,030","4,718,814","4,657,092"
"Guerrero","3,568,139","3,546,710","3,523,858","3,499,507","3,473,454","3,444,264","3,415,204","3,380,933","3,349,840","3,325,479","3,306,347","3,291,452","3,276,596","3,258,145","3,240,532","3,226,387","3,215,867","3,204,303","3,188,433","3,170,156","3,148,736","3,124,968","3,100,542","3,075,833","3,049,039","3,021,955"
"Hidalgo","2,878,369","2,842,784","2,806,334","2,768,973","2,730,570","2,690,086","2,649,264","2,605,175","2,565,231","2,531,941","2,504,490","2,480,424","2,456,380","2,431,444","2,408,458","2,390,284","2,374,982","2,359,558","2,343,436","2,326,530","2,308,109","2,288,570","2,268,750","2,248,684","2,227,905","2,207,154"
"Jalisco","7,931,267","7,838,010","7,742,303","7,644,152","7,543,233","7,442,625","7,331,993","7,213,583","7,101,648","7,000,916","6,903,508","6,823,155","6,752,883","6,671,656","6,592,401","6,513,479","6,452,167","6,401,411","6,338,294","6,270,725","6,197,229","6,118,571","6,036,556","5,951,246","5,861,907","5,765,386"
"México","16,870,388","16,618,929","16,364,210","16,106,485","15,845,558","15,571,679","15,315,644","15,040,385","14,765,300","14,497,023","14,233,514","13,978,080","13,723,512","13,459,745","13,195,345","12,933,002","12,678,984","12,424,077","12,154,856","11,876,981","11,591,879","11,300,207","11,004,587","10,706,626","10,403,594","10,083,763"
"Michoacán de Ocampo","4,596,499","4,563,849","4,529,914","4,494,730","4,458,100","4,420,271","4,381,615","4,333,681","4,290,259","4,258,725","4,233,917","4,220,890","4,212,077","4,193,971","4,176,873","4,162,262","4,158,671","4,160,121","4,152,556","4,140,754","4,123,078","4,100,535","4,075,275","4,047,191","4,015,276","3,978,777"
"Morelos","1,920,350","1,897,393","1,874,188","1,850,812","1,827,187","1,803,340","1,779,708","1,753,157","1,727,522","1,704,544","1,681,965","1,663,867","1,648,428","1,629,599","1,611,070","1,592,066","1,577,729","1,566,306","1,550,963","1,533,870","1,514,605","1,493,515","1,471,328","1,448,069","1,423,487","1,397,700"
