"","3.3.7.Proporción de niños de un año de edad vacunados contra el sarampión","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1990"
"Estados Unidos Mexicanos","2,209,418","2,210,642","2,211,902","2,206,286","2,220,480","2,238,234","2,237,504","2,239,786","2,241,047","2,251,365","2,264,624","2,273,622","2,280,476","2,289,553","2,303,190","2,316,440","2,332,324","2,349,050","2,364,302","2,375,513","2,372,988","2,364,067","2,357,797","2,302,799"
"Aguascalientes","25,448","25,444","25,438","25,309","25,534","25,807","25,639","25,535","25,720","26,119","26,321","26,269","26,118","26,021","26,005","26,037","26,062","26,035","25,980","25,861","25,714","25,518","25,258","24,066"
"Baja California","59,741","59,243","58,749","57,549","58,306","59,519","58,552","58,191","58,218","57,752","57,113","56,646","56,304","56,293","56,526","56,538","56,495","56,493","56,077","55,041","53,547","51,918","50,591","45,797"
"Baja California Sur","13,487","13,244","13,002","12,773","12,550","12,272","11,960","11,681","11,422","11,189","10,994","10,794","10,576","10,387","10,242","10,123","10,031","9,936","9,832","9,684","9,539","9,455","9,357","8,848"
"Campeche","16,741","16,654","16,555","16,419","16,381","16,331","16,151","16,010","15,896","15,811","15,746","15,695","15,667","15,650","15,658","15,803","16,028","16,202","16,353","16,443","16,481","16,470","16,353","15,305"
"Coahuila de Zaragoza","53,539","53,500","53,484","53,403","53,671","54,043","54,058","54,225","54,494","54,612","54,791","55,086","55,287","55,502","55,733","55,782","55,845","55,896","55,790","55,685","55,515","55,149","54,585","52,468"
"Colima","12,726","12,645","12,552","12,350","12,339","12,504","12,476","12,320","12,174","12,075","11,985","11,860","11,730","11,652","11,655","11,689","11,780","11,976","12,214","12,363","12,438","12,539","12,625","12,468"
"Chiapas","110,893","111,084","111,364","111,627","112,355","113,087","113,454","114,104","114,919","115,950","117,025","117,918","118,664","119,336","119,789","120,124","120,252","119,854","118,872","117,571","115,608","113,013","110,969","104,855"
"Chihuahua","68,186","68,061","67,957","66,820","68,366","70,663","70,235","70,260","69,961","69,368","68,876","68,383","67,781","67,233","66,753","66,252","65,502","64,929","64,699","64,505","64,067","63,109","62,357","59,779"
"Ciudad de México","125,023","126,827","128,652","130,361","132,443","134,752","136,397","138,539","141,251","143,032","144,624","146,547","148,209","149,793","151,588","153,761","156,642","159,688","162,476","165,147","167,841","171,359","175,186","183,527"
"Durango","32,868","32,940","33,021","33,005","33,315","33,734","33,806","33,907","34,136","34,528","34,946","35,345","35,720","36,098","36,613","37,081","37,545","38,014","38,421","38,522","38,344","38,405","38,574","37,846"
"Guanajuato","111,962","112,264","112,582","112,734","113,517","114,423","114,478","114,508","115,122","116,911","118,866","120,028","120,705","121,865","123,690","125,560","127,198","128,423","129,582","130,726","131,595","131,437","130,366","129,575"
"Guerrero","71,556","72,131","72,737","73,108","74,410","75,677","75,913","76,575","77,567","78,999","80,510","81,750","82,848","83,937","85,352","87,090","88,600","89,753","90,843","91,567","91,406","90,767","90,587","86,264"
"Hidalgo","53,837","53,874","53,887","53,644","54,173","54,450","53,766","53,782","54,148","54,474","54,724","54,839","54,821","54,932","55,066","55,085","55,336","56,059","57,034","57,782","58,172","58,458","58,559","58,203"
"Jalisco","147,301","147,210","147,068","146,143","147,220","148,602","147,735","147,062","146,654","147,094","147,532","147,627","147,707","147,955","148,545","149,062","149,986","151,553","153,281","154,537","155,392","156,274","156,725","154,979"
"México","306,384","305,801","305,182","304,535","303,669","303,109","303,906","304,489","303,042","302,552","302,935","302,434","301,750","301,128","300,380","299,158","299,955","301,027","299,789","298,684","296,142","292,432","290,569","279,462"
"Michoacán de Ocampo","87,816","87,963","88,081","87,699","88,689","89,880","89,327","89,016","89,191","89,938","90,742","91,426","92,173","93,114","94,441","95,774","97,517","99,772","102,237","104,272","105,400","106,411","107,273","106,873"
"Morelos","34,401","34,251","34,085","33,761","33,917","33,998","33,517","33,348","33,346","33,380","33,322","33,219","33,171","33,355","33,752","33,893","34,211","34,965","35,763","36,348","36,550","36,761","36,890","35,430"
"Nayarit","22,879","22,654","22,419","22,016","22,049","22,097","21,662","21,207","20,681","20,459","20,393","20,276","20,164","20,099","20,169","20,299","20,521","20,812","21,177","21,469","21,573","21,695","21,789","21,446"
"Nuevo León","86,492","86,302","86,142","85,836","85,946","86,262","86,285","86,099","85,720","85,762","85,795","85,487","85,095","84,693","84,314","83,788","83,237","82,735","82,492","82,068","80,980","80,282","79,968","78,289"
"Oaxaca","79,312","79,600","79,856","79,954","80,675","81,313","81,172","81,285","81,838","83,004","84,227","85,165","86,153","87,118","88,289","89,971","91,178","92,009","93,064","93,798","93,871","94,113","94,196","90,638"
"Puebla","123,500","123,757","124,047","124,253","124,650","125,270","125,342","125,240","126,020","127,511","128,793","129,565","129,922","130,547","131,503","132,231","132,499","132,081","133,068","136,052","136,236","133,503","131,768","127,989"
"Querétaro","37,237","37,151","37,065","36,888","36,990","37,075","37,253","37,446","36,972","36,880","37,229","37,321","37,313","37,417","37,601","37,811","37,988","38,117","38,227","38,215","38,092","37,981","37,847","36,688"
"Quintana Roo","30,455","29,909","29,330","28,602","28,256","27,415","27,185","27,215","25,019","23,593","23,340","22,799","22,352","21,948","21,593","21,283","21,009","20,746","20,549","20,383","20,187","20,025","19,808","18,649"
"San Luis Potosí","52,469","52,576","52,669","52,579","53,031","53,476","53,291","53,248","53,486","54,023","54,659","55,409","56,002","56,495","56,997","57,481","58,223","58,961","59,592","60,149","60,331","60,323","60,265","58,945"
