"","4.6.2.Tasa de alfabetización de las personas de 15 a 24 años de edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","21,658,189","21,616,247","21,542,076","21,375,032","21,236,159","21,067,624","20,877,909","20,671,828","20,384,876","20,146,169","19,934,805","19,765,292","19,639,616","19,552,874","19,479,872","19,414,429","19,361,481","19,318,554","19,303,895","19,275,061","19,219,811","19,129,945","18,997,742","18,822,089","18,600,901","18,339,140","18,035,890"
"Aguascalientes","243,761","241,730","239,484","236,969","234,116","230,837","227,237","223,430","219,300","215,192","211,454","208,333","205,845","203,874","202,103","200,493","199,216","198,197","197,483","196,708","195,723","194,350","192,545","190,256","187,501","184,231","180,530"
"Baja California","633,550","631,302","627,680","621,707","614,978","606,885","597,644","587,915","581,901","571,029","560,530","550,510","541,028","531,964","522,984","514,404","506,467","498,440","490,597","482,449","473,657","463,450","452,581","440,451","426,939","412,023","395,593"
"Baja California Sur","138,322","135,504","132,463","128,994","125,890","122,754","119,600","116,434","113,534","110,656","107,974","105,553","103,434","101,446","99,580","97,815","96,170","94,640","93,037","91,217","89,254","87,010","84,659","82,186","79,519","76,819","74,020"
"Campeche","163,253","163,346","163,149","162,214","161,241","159,853","158,154","156,196","152,576","150,146","147,678","145,282","143,053","140,982","139,025","137,100","135,054","132,832","130,614","128,177","125,541","122,554","119,617","116,484","113,129","109,667","106,146"
"Coahuila de Zaragoza","530,717","527,386","523,179","517,927","511,931","505,321","498,562","492,086","484,236","478,000","472,582","468,391","465,559","464,032","463,374","463,400","463,849","464,196","464,795","465,385","465,153","463,425","461,307","457,947","453,356","447,589","440,502"
"Colima","126,722","126,170","125,553","124,613","123,718","122,602","121,237","119,650","118,078","116,118","114,245","112,521","110,979","109,836","108,741","107,737","106,890","106,225","105,953","105,592","104,941","104,061","103,088","101,854","100,377","98,695","96,833"
"Chiapas","1,037,025","1,028,186","1,016,112","990,470","973,753","955,716","937,336","918,631","879,463","859,962","841,535","824,377","808,516","792,224","776,643","761,095","744,999","728,844","710,670","693,235","675,635","658,155","640,248","622,001","603,480","584,427","565,319"
"Chihuahua","649,103","644,985","640,398","633,829","628,417","622,956","617,230","612,624","605,832","599,191","592,957","587,881","583,944","581,211","578,840","576,325","574,109","571,887","570,404","568,769","566,413","562,947","559,051","553,973","547,580","539,820","530,425"
"Ciudad de México","1,353,376","1,373,274","1,394,123","1,413,936","1,435,557","1,457,309","1,479,517","1,502,191","1,525,601","1,546,641","1,567,613","1,589,124","1,611,496","1,635,269","1,658,892","1,682,106","1,704,998","1,727,556","1,752,367","1,776,660","1,800,539","1,822,299","1,839,989","1,854,262","1,865,653","1,873,916","1,878,609"
"Durango","328,967","327,879","326,092","323,479","320,268","316,588","312,684","308,696","303,228","299,190","295,478","292,578","290,573","290,464","290,824","291,401","292,148","293,103","296,286","298,695","300,673","302,048","302,900","303,079","302,349","300,895","298,912"
"Guanajuato","1,093,921","1,094,541","1,092,763","1,085,799","1,079,166","1,071,241","1,062,805","1,053,076","1,046,306","1,033,642","1,024,819","1,020,963","1,021,333","1,023,170","1,025,349","1,026,923","1,029,025","1,032,618","1,037,758","1,042,053","1,043,693","1,042,459","1,038,821","1,032,285","1,022,439","1,009,808","994,511"
"Guerrero","694,463","693,341","689,881","677,435","669,495","659,607","648,654","637,141","620,283","607,401","595,996","586,898","580,602","577,169","574,832","573,230","572,260","571,776","573,793","575,913","577,423","577,821","577,042","575,149","571,555","567,197","561,227"
"Hidalgo","513,503","511,833","509,489","505,195","501,627","497,157","491,722","485,439","480,641","473,078","466,728","462,133","459,273","457,751","456,778","456,410","457,111","458,681","461,406","463,997","465,742","466,895","466,530","465,156","462,583","458,881","453,844"
"Jalisco","1,415,779","1,414,793","1,412,542","1,407,002","1,401,190","1,393,286","1,383,453","1,372,012","1,362,432","1,346,812","1,331,982","1,318,935","1,307,674","1,301,585","1,295,535","1,289,667","1,284,619","1,280,125","1,281,912","1,282,698","1,281,311","1,277,669","1,271,111","1,261,286","1,247,867","1,231,824","1,212,696"
"México","2,992,490","2,977,189","2,958,811","2,933,546","2,908,088","2,878,482","2,845,570","2,810,058","2,771,314","2,733,187","2,697,424","2,664,362","2,634,422","2,609,363","2,586,240","2,564,620","2,545,250","2,527,955","2,514,139","2,496,345","2,474,542","2,447,533","2,414,320","2,374,913","2,328,958","2,276,537","2,218,187"
"Michoacán de Ocampo","835,492","839,094","841,416","839,570","838,736","836,245","832,443","827,366","814,659","806,362","799,382","794,830","792,721","794,525","796,376","797,882","799,715","801,829","808,143","814,113","818,433","821,606","821,906","819,677","815,171","808,557","800,117"
"Morelos","337,657","338,097","337,885","336,491","334,873","332,476","329,296","325,477","321,885","316,831","312,030","307,939","304,669","303,101","301,777","300,656","299,916","299,472","300,907","301,974","302,600","302,256","301,342","299,540","296,953","293,427","289,330"
"Nayarit","215,927","214,120","212,249","209,664","207,241","204,627","201,791","198,643","194,272","190,832","187,729","185,128","183,061","182,064","181,289","180,594","180,064","179,780","180,458","180,933","181,151","180,961","180,205","178,973","177,192","174,971","172,336"
"Nuevo León","867,608","860,244","852,580","844,390","836,550","828,971","821,627","814,098","805,573","799,273","793,947","789,831","786,960","785,896","785,384","785,097","784,938","784,464","784,397","783,352","780,756","776,608","770,495","762,246","751,843","739,225","724,986"
"Oaxaca","746,100","746,149","743,810","735,487","729,103","721,321","712,858","703,847","692,775","682,719","674,659","669,907","668,697","666,777","665,612","664,530","663,678","663,317","661,164","658,474","655,099","651,387","644,858","637,090","628,482","619,241","609,033"
"Puebla","1,163,149","1,159,977","1,154,250","1,141,061","1,131,090","1,119,267","1,106,086","1,090,981","1,061,673","1,045,150","1,031,680","1,021,800","1,015,302","1,008,254","1,002,036","996,420","991,860","987,966","981,729","974,714","965,965","957,053","944,356","929,936","913,508","895,948","876,195"
"Querétaro","371,474","370,125","368,256","365,457","362,554","359,001","354,883","350,297","346,697","341,399","336,630","332,656","329,496","325,939","322,458","319,030","315,844","312,892","309,238","305,254","300,826","295,958","290,627","284,582","278,057","271,128","263,794"
"Quintana Roo","287,860","285,011","281,915","277,921","274,463","270,721","266,641","262,196","257,079","251,781","246,165","240,327","234,322","227,842","220,991","213,764","206,307","198,647","190,262","181,802","173,250","164,476","155,885","147,312","138,713","130,267","121,903"
"San Luis Potosí","509,743","509,032","507,291","503,512","499,560","494,467","488,577","482,039","476,085","468,335","461,535","456,202","452,395","450,735","449,648","449,084","449,359","450,418","453,589","456,577","458,987","460,137","460,462","459,689","457,836","454,739","450,396"
"Sinaloa","529,591","528,873","527,345","525,023","522,021","518,587","515,026","511,459","497,807","493,712","490,156","487,578","486,085","486,416","487,167","487,994","488,512","488,610","490,765","492,549","493,803","493,516","491,950","488,860","484,443","478,980","472,474"
"Sonora","517,686","514,011","509,749","504,132","498,628","492,512","485,885","479,070","472,245","465,508","459,389","454,227","450,069","446,171","442,836","440,017","437,672","435,476","433,211","430,885","427,946","424,393","420,215","415,263","409,511","402,986","395,661"
"Tabasco","432,769","433,060","433,051","430,950","429,895","428,423","426,549","424,313","419,444","416,767","413,990","411,200","408,444","405,510","402,554","399,500","396,325","392,911","388,653","383,698","378,041","371,922","365,012","357,461","349,349","340,522","331,534"
"Tamaulipas","611,549","607,873","603,462","598,296","593,199","587,814","582,385","577,400","572,048","566,880","562,131","558,121","554,816","552,351","549,866","547,155","544,147","540,325","536,580","532,679","528,399","523,213","517,675","511,065","503,679","495,253","486,253"
"Tlaxcala","238,794","237,150","235,177","232,489","229,925","227,055","223,965","220,763","217,506","214,266","211,437","209,148","207,396","205,352","203,423","201,563","199,781","198,022","195,602","193,016","190,281","187,280","183,956","180,294","176,444","172,374","168,174"
"Veracruz de Ignacio de la Llave","1,420,047","1,422,841","1,422,423","1,410,190","1,403,268","1,392,730","1,379,383","1,363,709","1,332,129","1,314,494","1,299,604","1,288,630","1,281,784","1,278,130","1,277,308","1,279,139","1,284,147","1,292,696","1,303,661","1,313,145","1,320,762","1,325,944","1,327,344","1,325,212","1,318,443","1,307,657","1,291,942"
"Yucatán","370,704","372,039","372,894","372,028","371,653","370,558","368,789","366,382","363,186","359,021","354,583","350,015","345,623","341,221","336,834","332,432","327,763","322,626","317,311","312,275","307,167","300,736","295,124","289,295","282,891","276,505","270,090"
"Zacatecas","287,087","287,093","286,603","285,257","283,962","282,254","280,322","278,209","275,090","272,596","270,763","269,914","270,045","272,252","274,571","276,844","279,287","282,031","287,012","291,728","296,106","299,823","302,520","304,313","305,100","305,031","304,320"
