"","4.6.4.Tasa de alfabetización de los hombres de 15 a 24 años de edad","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entidad Federativa","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Estados Unidos Mexicanos","10,845,458","10,803,599","10,744,496","10,642,146","10,549,649","10,441,804","10,322,862","10,196,117","10,036,979","9,902,633","9,789,727","9,705,448","9,648,540","9,613,587","9,589,426","9,572,360","9,562,507","9,559,981","9,587,763","9,612,145","9,622,058","9,610,984","9,574,954","9,512,035","9,421,618","9,307,213","9,169,990"
"Aguascalientes","121,614","120,257","118,827","117,380","115,704","113,811","111,749","109,575","107,063","104,828","102,885","101,351","100,194","99,313","98,559","97,907","97,416","97,074","97,083","97,100","96,990","96,628","95,986","95,037","93,801","92,261","90,501"
"Baja California","318,948","317,883","316,192","313,113","309,981","306,217","301,901","297,346","294,843","289,683","284,782","280,250","276,073","272,114","268,250","264,644","261,368","258,051","255,012","251,841","248,277","243,854","238,954","233,244","226,681","219,274","210,965"
"Baja California Sur","70,124","68,790","67,378","65,629","64,223","62,821","61,423","60,022","58,709","57,459","56,308","55,279","54,381","53,510","52,670","51,849","51,063","50,304","49,498","48,562","47,540","46,352","45,103","43,777","42,342","40,892","39,387"
"Campeche","82,189","82,034","81,709","81,152","80,402","79,417","78,261","76,970","74,987","73,517","72,062","70,677","69,417","68,271","67,237","66,271","65,301","64,295","63,382","62,407","61,354","60,139","58,930","57,617","56,183","54,676","53,122"
"Coahuila de Zaragoza","267,869","265,931","263,575","260,827","257,640","254,183","250,679","247,349","242,661","239,541","236,865","234,839","233,486","232,732","232,388","232,352","232,465","232,488","232,766","233,060","232,895","231,910","230,788","229,046","226,687","223,765","220,210"
"Colima","64,236","63,807","63,341","62,627","62,021","61,304","60,461","59,511","58,506","57,409","56,420","55,558","54,821","54,318","53,851","53,438","53,090","52,836","52,913","52,970","52,850","52,583","52,241","51,730","51,071","50,294","49,409"
"Chiapas","521,205","515,241","507,605","495,020","484,826","473,847","462,673","451,434","439,051","427,978","417,968","409,024","401,126","393,093","385,748","378,724","371,718","364,904","357,712","350,860","343,924","336,920","329,606","322,008","314,162","306,000","297,712"
"Chihuahua","325,054","322,562","319,965","316,428","313,817","311,423","308,945","307,673","304,618","301,638","298,743","296,554","294,999","294,040","293,261","292,407","291,651","290,867","290,865","290,840","290,364","289,188","287,640","285,333","282,240","278,382","273,654"
"Ciudad de México","676,451","685,924","695,856","705,541","715,804","726,071","736,552","747,260","757,434","767,455","777,460","787,669","798,146","809,140","819,861","830,196","840,148","849,821","861,130","872,377","883,375","893,251","901,133","907,251","911,858","914,948","916,461"
"Durango","165,472","164,656","163,483","161,864","160,009","157,944","155,744","153,501","150,414","148,152","146,080","144,498","143,424","143,454","143,767","144,224","144,762","145,439","147,783","149,799","151,580","152,986","154,049","154,672","154,732","154,361","153,682"
"Guanajuato","539,031","537,843","535,320","530,053","524,905","519,023","512,898","506,234","500,796","493,984","490,167","489,833","492,298","495,515","499,272","503,020","507,023","511,842","518,582","525,030","529,794","532,572","533,515","532,311","528,823","523,449","516,450"
