"8.2.1.Tasa de crecimiento del PIB por persona ocupada",""
"Periodo","Población ocupada de 15 años y más"
"2016","51,594,748"
"2015","50,611,332"
"2014","49,415,412"
"2013","49,227,313"
"2012","48,706,734"
"2011","47,138,887"
"2010","46,121,621"
"2009","45,435,352"
"2008","44,943,527"
"2007","44,231,248"
"2006","43,378,461"
"2005","42,079,136"
"2004","39,969,884"
"2003","39,126,829"
"2002","38,514,683"
"2001","37,934,910"
"2000","37,704,485"
"1999","36,774,938"
"1998","36,356,971"
"1997","35,425,187"
"1996","33,495,833"
