"","3.7.1.Proporción de mujeres en edad reproductiva (de 15 a 49 años) con demanda satisfecha de planificación familiar con métodos modernos"
"Entidad Federativa","2014"
"Estados Unidos Mexicanos","72"
"Aguascalientes","72"
"Baja California","77"
"Baja California Sur","76"
"Campeche","70"
"Coahuila de Zaragoza","74"
"Colima","76"
"Chiapas","59"
"Chihuahua","77"
"Ciudad de México","75"
"Durango","74"
"Guanajuato","68"
"Guerrero","67"
"Hidalgo","72"
"Jalisco","72"
"México","78"
"Michoacán de Ocampo","68"
"Morelos","74"
"Nayarit","75"
"Nuevo León","74"
"Oaxaca","61"
"Puebla","74"
"Querétaro","72"
"Quintana Roo","72"
"San Luis Potosí","71"
"Sinaloa","78"
"Sonora","77"
"Tabasco","70"
"Tamaulipas","74"
"Tlaxcala","75"
"Veracruz de Ignacio de la Llave","69"
"Yucatán","72"
"Zacatecas","69"
